scientific_name,bbl_common_name,bbl_alpha,bbl_french_name,bbl_threatened_endangered,genus
Baeolophus atricristatus,Black-crested Titmouse,BCTI,Mésange à plumet noir,,Baeolophus
Baeolophus inornatus,Oak Titmouse,OATI,Mésange unicolore,,Baeolophus
Baeolophus ridgwayi,Juniper Titmouse,JUTI,Mésange des genévriers,,Baeolophus
Baeolophus wollweberi,Bridled Titmouse,BRTI,Mésange arlequin,,Baeolophus
Sittiparus varius,Varied Tit,VATI,Mésange variée,,Sittiparus
Poecile atricapillus,Black-capped Chickadee,BCCH,Mésange à tête noire,,Poecile
Poecile carolinensis,Carolina Chickadee,CACH,Mésange de Caroline,,Poecile
Poecile sclateri,Mexican Chickadee,MECH,Mésange grise,,Poecile
Poecile gambeli,Mountain Chickadee,MOCH,Mésange de Gambel,,Poecile
Poecile cinctus,Gray-headed Chickadee,GHCH,Mésange lapone,,Poecile
Poecile hudsonicus,Boreal Chickadee,BOCH,Mésange à tête brune,,Poecile
Poecile rufescens,Chestnut-backed Chickadee,CBCH,Mésange à dos marron,,Poecile
Chamaea fasciata,Wrentit,WREN,Cama brune,,Chamaea
Leiothrix lutea,Red-billed Leiothrix,RBLE,Léiothrix jaune,,Leiothrix
Garrulax canorus,Hwamei,HWAM,Garrulaxe hoamy,,Garrulax
Garrulax pectoralis,Greater Necklaced Laughingthrush,GNLA,Garrulaxe à plastron,,Garrulax
Catharus aurantiirostris,Orange-billed Nightingale-Thrush,OBNT,Grive à bec orange,,Catharus
Psaltriparus minimus,Bushtit,BUSH,Mésange buissonnière,,Psaltriparus
Auriparus flaviceps,Verdin,VERD,Auripare verdin,,Auriparus
Horornis diphone,Japanese Bush Warbler,JABW,Bouscarle chanteuse,,Horornis
Acrocephalus familiaris,Millerbird,MILL,Rousserolle obscure,Y,Acrocephalus
Phylloscopus borealis,Arctic Warbler,ARWA,Pouillot boréal,,Phylloscopus
Locustella ochotensis,Middendorff's Grasshopper-Warbler,MIGW,Locustelle de Middendorff,,Locustella
Phylloscopus sibilatrix,Wood Warbler,WOWA,Pouillot siffleur,,Phylloscopus
Phylloscopus fuscatus,Dusky Warbler,DUWA,Pouillot brun,,Phylloscopus
Locustella lanceolata,Lanceolated Warbler,LANW,Locustelle lancéolée,,Locustella
Regulus satrapa,Golden-crowned Kinglet,GCKI,Roitelet à couronne dorée,,Regulus
Corthylio calendula,Ruby-crowned Kinglet,RCKI,Roitelet à couronne rubis,,Corthylio
Prunella montanella,Siberian Accentor,SIAC,Accenteur montanelle,,Prunella
Polioptila caerulea,Blue-gray Gnatcatcher,BGGN,Gobemoucheron gris-bleu,,Polioptila
Polioptila melanura,Black-tailed Gnatcatcher,BTGN,Gobemoucheron à queue noire,,Polioptila
Polioptila californica,California Gnatcatcher,CAGN,Gobemoucheron de Californie,Y,Polioptila
Polioptila nigriceps,Black-capped Gnatcatcher,BCGN,Gobemoucheron à coiffe noire,,Polioptila
Polioptila californica,Baja Gnatcatcher,BACG,,,Polioptila
Myadestes townsendi,Townsend's Solitaire,TOSO,Solitaire de Townsend,,Myadestes
Myadestes obscurus,Omao,OMAO,Solitaire d'Hawaï,,Myadestes
Myadestes palmeri,Puaiohi,PUAI,Solitaire puaïohi,Y,Myadestes
Myadestes myadestinus,Kamao,KAMA,Solitaire kamao,Y,Myadestes
Myadestes lanaiensis,Olomao,OLOM,Solitaire de Lanai,Y,Myadestes
Hylocichla mustelina,Wood Thrush,WOTH,Grive des bois,New Brunswick Nova Scotia Ontario Québec,Hylocichla
Catharus fuscescens,Veery,VEER,Grive fauve,,Catharus
Catharus minimus,Gray-cheeked Thrush,GCTH,Grive à joues grises,,Catharus
Catharus bicknelli,Bicknell's Thrush,BITH,Grive de Bicknell,New Brunswick Nova Scotia Québec,Catharus
Catharus ustulatus,Swainson's Thrush,SWTH,Grive à dos olive,,Catharus
Catharus guttatus,Hermit Thrush,HETH,Grive solitaire,,Catharus
Turdus iliacus,Redwing,REDW,Grive mauvis,,Turdus
Turdus migratorius,American Robin,AMRO,Merle d'Amérique,,Turdus
Turdus pilaris,Fieldfare,FIEL,Grive litorne,,Turdus
Turdus obscurus,Eyebrowed Thrush,EYTH,Merle obscur,,Turdus
Turdus eunomus,Dusky Thrush,DUTH,Grive de Naumann,,Turdus
Turdus grayi,Clay-colored Thrush,CCTH,Merle fauve,,Turdus
Turdus rufopalliatus,Rufous-backed Robin,RBRO,Merle à dos roux,,Turdus
Turdus plumbeus,Red-legged Thrush,RLTH,Merle vantard,,Turdus
Ixoreus naevius,Varied Thrush,VATH,Grive à collier,,Ixoreus
Ridgwayia pinicola,Aztec Thrush,AZTH,Grive aztèque,,Ridgwayia
Cyanecula svecica,Bluethroat,BLUE,Gorgebleue à miroir,,Cyanecula
Calliope calliope,Siberian Rubythroat,SIRU,Rossignol calliope,,Calliope
Tarsiger cyanurus,Red-flanked Bluetail,RFBL,Rossignol à flancs roux,,Tarsiger
Oenanthe oenanthe,Northern Wheatear,NOWH,Traquet motteux,,Oenanthe
Sialia sialis,Eastern Bluebird,EABL,Merlebleu de l'Est,,Sialia
Sialia mexicana,Western Bluebird,WEBL,Merlebleu de l'Ouest,,Sialia
Sialia currucoides,Mountain Bluebird,MOBL,Merlebleu azuré,,Sialia
Copsychus malabaricus,White-rumped Shama,WRSH,Shama à croupion blanc,,Copsychus
Chasiempis sandwichensis,Hawaii Elepaio,HAEL,Monarque d'Hawaï,,Chasiempis
Chasiempis ibidis,Oahu Elepaio,OAEL,Monarque d'Oahu,Y,Chasiempis
Chasiempis sclateri,Kauai Elepaio,KAEL,Monarque de Kauai,,Chasiempis
Ficedula albicilla,Taiga Flycatcher,TAFL,Gobemouche de la taïga,,Ficedula
Muscicapa sibirica,Dark-sided Flycatcher,DSFL,Gobemouche de Sibérie,,Muscicapa
Muscicapa griseisticta,Gray-streaked Flycatcher,GSFL,Gobemouche à taches grises,,Muscicapa
Telespiza cantans,Laysan Finch,LAFI,Psittirostre de Laysan,Y,Telespiza
Telespiza ultima,Nihoa Finch,NIFI,Psittirostre de Nihoa,Y,Telespiza
Psittirostra psittacea,Ou,OU,Psittirostre psittacin,Y,Psittirostra
Loxioides bailleui,Palila,PALI,Psittirostre palila,Y,Loxioides
Pseudonestor xanthophrys,Maui Parrotbill,MAPA,Psittirostre de Maui,Y,Pseudonestor
Chlorodrepanis virens,Hawaii Amakihi,HAAM,Amakihi familier,,Chlorodrepanis
Chlorodrepanis flava,Oahu Amakihi,OAAM,Amakihi d'Oahu,,Chlorodrepanis
Chlorodrepanis stejnegeri,Kauai Amakihi,KAAM,Amakihi de Kauai,,Chlorodrepanis
Magumma parva,Anianiau,ANIA,Anianiau de Kauai,,Magumma
Akialoa ellisiana,Oahu Akialoa,OAAK,Hémignathe à long bec,Y,Akialoa
Hemignathus lucidus,Nukupuu,NUKU,Hémignathe nukupuu,Y,Hemignathus
Hemignathus wilsoni,Akiapolaau,AKIP,Hémignathe akiapolaau,Y,Hemignathus
Oreomystis bairdi,Akikiki,AKIK,Grimpeur de Kauai,Y,Oreomystis
Loxops mana,Hawaii Creeper,HCRE,Grimpeur d'Hawaï,Y,Loxops
Paroreomyza montana,Maui Alauahio,MAAL,Grimpeur de Maui,,Paroreomyza
Paroreomyza flammea,Kakawahie,KAKA,Grimpeur de Molokai,Y,Paroreomyza
Paroreomyza maculata,Oahu Alauahio,OAAL,Grimpeur d'Oahu,Y,Paroreomyza
Loxops coccineus,Akepa,AKEP,Loxopse des Hawaï,Y,Loxops
Loxops caeruleirostris,Akekee,AKEK,Loxopse de Kauai,Y,Loxops
Drepanis coccinea,Iiwi,IIWI,Iiwi rouge,,Drepanis
Palmeria dolei,Akohekohe,AKOH,Palmérie huppée,Y,Palmeria
Himatione sanguinea,Apapane,APAP,Picchion cramoisi,,Himatione
Melamprosops phaeosoma,Poo-uli,POUL,Po-o-uli masqué,Y,Melamprosops
Euplectes franciscanus,Northern Red Bishop,NRBI,Euplecte franciscain,,Euplectes
Euplectes afer,Yellow-crowned Bishop,YCBI,Euplecte vorabé,,Euplectes
Uraeginthus bengalus,Red-cheeked Cordonbleu,RCCO,Cordonbleu à joues rouges,,Uraeginthus
Estrilda caerulescens,Lavender Waxbill,LAVW,Astrild queue-de-vinaigre,,Estrilda
Estrilda melpoda,Orange-cheeked Waxbill,ORAW,Astrild à joues orange,,Estrilda
Estrilda troglodytes,Black-rumped Waxbill,BRWX,Astrild cendré,,Estrilda
Estrilda astrild,Common Waxbill,COMW,Astrild ondulé,,Estrilda
Amandava amandava,Red Avadavat,REAV,Bengali rouge,,Amandava
Euodice cantans,African Silverbill,AFSI,Capucin bec-d'argent,,Euodice
Spermestes cucullata,Bronze Mannikin,BRMA,Capucin nonnette,,Spermestes
Lonchura punctulata,Scaly-breasted Munia,SBMU,Capucin damier,,Lonchura
Lonchura malacca,Tricolored Munia,TRMU,Capucin à dos marron,,Lonchura
Padda oryzivora,Java Sparrow,JAVS,Padda de Java,,Padda
Vidua macroura,Pin-tailed Whydah,PTWH,Veuve dominicaine,,Vidua
Aptenodytes patagonicus,King Penguin,KIPE,Manchot royal,,Aptenodytes
Aptenodytes forsteri,Emperor Penguin,EMPE,Manchot empereur,,Aptenodytes
Pygoscelis papua,Gentoo Penguin,GEPE,Manchot papou,,Pygoscelis
Pygoscelis adeliae,Adelie Penguin,ADPE,Manchot d'Adélie,,Pygoscelis
Pygoscelis antarcticus,Chinstrap Penguin,CHPE,Manchot à jugulaire,,Pygoscelis
Eudyptes pachyrhynchus,Victoria Penguin,VIPE,Gorfou du Fiordland,,Eudyptes
Eudyptes chrysocome,Rockhopper Penguin,ROCP,Gorfou sauteur,,Eudyptes
Eudyptes schlegeli,Royal Penguin,ROYP,Gorfou de Schlegel,,Eudyptes
Eudyptes chrysolophus,Macaroni Penguin,MACP,Gorfou doré,,Eudyptes
Eudyptula minor,Fairy Penguin,FAPE,Manchot pygmée,,Eudyptula
Spheniscus demersus,African Penguin,AFPE,Manchot du Cap,,Spheniscus
Spheniscus humboldti,Humboldt Penguin,HUPE,Manchot de Humboldt,,Spheniscus
Spheniscus magellanicus,Magellanic Penguin,MAGP,Manchot de Magellan,,Spheniscus
Spheniscus mendiculus,Galapagos Penguin,GALP,Manchot des Galapagos,,Spheniscus
Diomedea epomophora,Royal Albatross,ROAL,Albatros royal,,Diomedea
Thalassarche bulleri,Buller's Albatross,BUAL,Albatros de Buller,,Thalassarche
Thalassarche chrysostoma,Gray-headed Albatross,GHAL,Albatros à tête grise,,Thalassarche
Phoebetria fusca,Sooty Albatross,SOAL,,,Phoebetria
Phoebetria palpebrata,Light-mantled Albatross,LMSA,Albatros fuligineux,,Phoebetria
Macronectes giganteus,Southern Giant-Petrel,SGPE,Pétrel géant,,Macronectes
Fulmarus glacialoides,Southern Fulmar,SOFU,Fulmar argenté,,Fulmarus
Halobaena caerulea,Blue Petrel,BLPE,Prion bleu,,Halobaena
Pachyptila vittata,Broad-billed Prion,BBPR,Prion de Forster,,Pachyptila
Pachyptila desolata,Dove Prion,DOPR,Prion de la désolation,,Pachyptila
Pachyptila belcheri,Thin-billed Prion,TBPR,Prion de Belcher,,Pachyptila
Pachyptila turtur,Fairy Prion,FAPR,Prion colombe,,Pachyptila
Thalassoica antarctica,Antarctic Petrel,ANPE,Pétrel Antarctique,,Thalassoica
Procellaria aequinoctialis,White-chinned Petrel,WCPE,Puffin à menton blanc,,Procellaria
Aphrodroma brevirostris,Kerguelen Petrel,KEPE,Pétrel de Kerguelen,,Aphrodroma
Pagodroma nivea,Snow Petrel,SNPE,Pétrel des neiges,,Pagodroma
Garrodia nereis,Gray-backed Storm-Petrel,GBSP,Océanite néréide,,Garrodia
Leucocarbo atriceps,Blue-eyed Cormorant,BECO,Cormoran impérial,,Leucocarbo
Chionis albus,Snowy Sheathbill,SNSH,Chionis blanc,,Chionis
Chionis minor,Lesser Sheathbill,LESH,Petit Chionis,,Chionis
Larus dominicanus,Kelp Gull,KEGU,Goéland dominicain,,Larus
Sterna vittata,Antarctic Tern,ANTE,Sterne couronnée,,Sterna
Sterna virgata,Kerguelen Tern,KETE,Sterne de Kerguelen,,Sterna
Macronectes halli,Northern Giant-Petrel,NGPE,Pétrel de Hall,,Macronectes
Stercorarius antarcticus,Brown Skua,BRSK,Grand labbe,,Stercorarius
Monarcha takatsukasae,Tinian Monarch,TIMO,Monarque de Tinian,,Monarcha
Corvus kubaryi,Mariana Crow,MARC,Corneille de Guam,Y,Corvus
Aerodramus bartschi,Guam Swiftlet,GUSW,Salangane de Guam,Y,Aerodramus
Acrocephalus luscinius,Nightingale Reed Warbler,NIRW,Rousserolle rossignol,Y,Acrocephalus
Megapodius laperouse,Micronesian Megapode,MIME,Mégapode de La Pérouse,Y,Megapodius
Aerodramus spodiopygius,White-rumped Swiftlet,WRSW,Salangane à croupion blanc,,Aerodramus
Ptilinopus porphyraceus,Purple-capped Fruit Dove,PCFD,Tourterelle à collier,,Ptilinopus
Todiramphus chloris,Collared Kingfisher,COLK,Martin-chasseur à collier blanc,,Todiramphus
Aplonis atrifusca,Samoan Starling,SAST,Stourne de Samoa,,Aplonis
Aplonis tabuensis,Polynesian Starling,POST,Stourne de Polynésie,,Aplonis
Myzomela cardinalis,Cardinal Honeyeater,CAHO,Myzomèle cardinal,,Myzomela
Foulehaio carunculatus,Eastern Wattled Honeyeater,EWHO,Méliphage foulehaio,,Foulehaio
Myzomela rubratra,Micronesian Myzomela,MIMY,Myzomèle de Micronésie,,Myzomela
Rhipidura versicolor,Micronesian Rufous Fantail,MIRF,Rhipidure roux,,Rhipidura
Clytorhynchus vitiensis,Fiji Shrikebill,FISH,Monarque des Fidji,,Clytorhynchus
Zosterops conspicillatus,Bridled White-eye,BRWE,Zostérops bridé,,Zosterops
Cleptornis marchei,Golden White-eye,GOWE,Zostérops doré,,Cleptornis
Aplonis opaca,Micronesian Starling,MIST,Stourne de Micronésie,,Aplonis
Dicrurus macrocercus,Black Drongo,BLDR,Drongo royal,,Dicrurus
Eudynamys taitensis,Long-tailed Cuckoo,LTCU,Coucou de Nouvelle-Zélande,,Eudynamys
Ptilinopus perousii,Many-colored Fruit Dove,MCFD,Ptilope de La Pérouse,,Ptilinopus
Ducula pacifica,Pacific Pigeon,PAPI,Carpophage Pacifique,,Ducula
Alopecoenas stairi,Shy Ground Dove,SHGD,Gallicolombe de stair,Y,Alopecoenas
Todiramphus reichenbachii,Pohnpei Kingfisher,POKI,Martin-chasseur de Ponapé,Y,Todiramphus
Todiramphus cinnamominus,Guam Kingfisher,GUKI,,Y,Todiramphus
Aerodramus bartschi,Mariana Swiftlet,MASW,Salangane des Mariannes,Y,Aerodramus
Zosterops rotensis,Rota White-eye,ROWE,Zostérops de Rota,Y,Zosterops
Anthracothorax aurulentus,Puerto Rican Mango,PRMA,Mango de Porto Rico,,Anthracothorax
Trochilus polytmus,Streamertail,STTL,Colibri à tête noire,,Trochilus
Todus todus,Jamaican Tody,JATO,Todier de la Jamaïque,,Todus
Myiarchus barbirostris,Sad Flycatcher,SAFL,Tyran triste,,Myiarchus
Elaenia flavogaster,Yellow-bellied Elaenia,YBEL,Élénie à ventre jaune,,Elaenia
Elaenia fallax,Greater Antillean Elaenia,GAEL,Élénie sara,,Elaenia
Myiopagis cotta,Jamaican Elaenia,JAEL,Élénie de la Jamaïque,,Myiopagis
Corvus jamaicensis,Jamaican Crow,JACR,Corneille de la Jamaïque,,Corvus
Troglodytes musculus,Southern House Wren,SHWR,Troglodyte familier du sud,,Troglodytes
Cinclocerthia ruficauda,Brown Trembler,BRTR,Trembleur brun,,Cinclocerthia
Turdus jamaicensis,White-eyed Thrush,WETH,Merle aux yeux blancs,,Turdus
Turdus aurantius,White-chinned Thrush,WCTH,Merle à miroir,,Turdus
Myadestes genibarbis,Rufous-throated Solitaire,RTSO,Solitaire siffleur,,Myadestes
Vireo crassirostris,Thick-billed Vireo,TBVI,Viréo à bec fort,,Vireo
Vireo modestus,Jamaican Vireo,JAVI,Viréo de la Jamaïque,,Vireo
Setophaga pityophila,Olive-capped Warbler,OLIW,Paruline à calotte verte,,Setophaga
Setophaga pharetra,Arrowhead Warbler,ARRW,Paruline de la Jamaïque,,Setophaga
Geothlypis rostrata,Bahama Yellowthroat,BAYE,Paruline des Bahamas,,Geothlypis
Euneornis campestris,Orangequit,ORAN,Pique-orange de la Jamaïque,,Euneornis
Euphonia jamaica,Jamaican Euphonia,JAEU,Organiste de la Jamaïque,,Euphonia
Icterus icterus,Venezuelan Troupial,VETR,Oriole troupiale,,Icterus
Icterus leucopteryx,Jamaican Oriole,JAOR,Oriole de la Jamaïque,,Icterus
Loxipasser anoxanthus,Yellow-shouldered Grassquit,YSGR,Sporophile mantelé,,Loxipasser
Melopyrrha violacea,Greater Antillean Bullfinch,GABU,Sporophile petit-coq,,Melopyrrha
Sporophila nigricollis,Yellow-bellied Seedeater,YBSE,Sporophile à ventre jaune,,Sporophila
Volatinia jacarina,Blue-black Grassquit,BBGR,Jacarini noir,,Volatinia
