scientific_name,bbl_common_name,bbl_alpha,bbl_french_name,bbl_threatened_endangered,genus
Junco hyemalis aikeni,White-winged Junco,WWJU,Junco ardoisé à ailes blanches,,Junco
Junco hyemalis hyemalis,Slate-colored Junco,SCJU,Junco ardoisé,,Junco
Junco hyemalis oreganus,Oregon Junco,ORJU,Junco ardoisé à dos roux,,Junco
Junco hyemalis mearnsi,Pink-sided Junco,PSJU,Junco à flancs rosés,,Junco
Junco hyemalis,Unspecified Dark-eyed Junco,UDEJ,Junco ardoisé non identifié,,Junco
Junco hyemalis caniceps,Gray-headed Junco,GHJU,Junco ardoisé à tête grise,,Junco
Junco phaeonotus,Yellow-eyed Junco,YEJU,Junco aux yeux jaunes,,Junco
Amphispiza bilineata,Black-throated Sparrow,BTSP,Bruant à gorge noire,,Amphispiza
Artemisiospiza belli belli,San Clemente Bell's Sparrow,SCBS,,Y,Artemisiospiza
Amphispizopsis quinquestriata,Five-striped Sparrow,FSSP,Bruant pentaligne,,Amphispizopsis
Artemisiospiza nevadensis,Sagebrush Sparrow,SBSP,Bruant des armoises,,Artemisiospiza
Artemisiospiza belli,Bell's Sparrow,BESP,Bruant de Bell,,Artemisiospiza
Peucaea aestivalis,Bachman's Sparrow,BACS,Bruant des pinèdes,,Peucaea
Peucaea botterii,Botteri's Sparrow,BOSP,Bruant de Botteri,,Peucaea
Peucaea cassinii,Cassin's Sparrow,CASP,Bruant de Cassin,,Peucaea
Peucaea carpalis,Rufous-winged Sparrow,RWSP,Bruant à épaulettes,,Peucaea
Aimophila ruficeps,Rufous-crowned Sparrow,RCSP,Tohi à calotte fauve,,Aimophila
Melospiza melodia,Song Sparrow,SOSP,Bruant chanteur,,Melospiza
Melospiza lincolnii,Lincoln's Sparrow,LISP,Bruant de Lincoln,,Melospiza
Melospiza georgiana,Swamp Sparrow,SWSP,Bruant des marais,,Melospiza
Passerella iliaca,Fox Sparrow,FOSP,Bruant fauve,,Passerella
Arremonops rufivirgatus,Olive Sparrow,OLSP,Tohi olive,,Arremonops
Sicalis flaveola,Saffron Finch,SAFI,Sicale bouton-d'or,,Sicalis
Pipilo erythrophthalmus,Eastern Towhee,EATO,Tohi à flancs roux,,Pipilo
Pipilo maculatus,Spotted Towhee,SPTO,Tohi tacheté,,Pipilo
Pipilo chlorurus,Green-tailed Towhee,GTTO,Tohi à queue verte,,Pipilo
Melozone fusca,Canyon Towhee,CANT,Tohi des canyons,,Melozone
Melozone crissalis,California Towhee,CALT,Tohi de Californie,,Melozone
Melozone crissalis eremophilus,Inyo California Towhee,ICTO,Tohi de Californie (eremophilus),Y,Melozone
Melozone aberti,Abert's Towhee,ABTO,Tohi d'Abert,,Melozone
Paroaria coronata,Red-crested Cardinal,RCCA,Paroare huppé,,Paroaria
Paroaria capitata,Yellow-billed Cardinal,YBCA,Paroare à bec jaune,,Paroaria
Cardinalis cardinalis,Northern Cardinal,NOCA,Cardinal rouge,,Cardinalis
Cardinalis sinuatus,Pyrrhuloxia,PYRR,Cardinal pyrrhuloxia,,Cardinalis
