scientific_name,ebird_common_name,ebird_species_code,ebird_order,ebird_family,genus
Struthio camelus,Common Ostrich,ostric2,Struthioniformes,Struthionidae,Struthio
Struthio molybdophanes,Somali Ostrich,ostric3,Struthioniformes,Struthionidae,Struthio
Rhea americana,Greater Rhea,grerhe1,Rheiformes,Rheidae,Rhea
Rhea pennata,Lesser Rhea,lesrhe2,Rheiformes,Rheidae,Rhea
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,Tinamiformes,Tinamidae,Nothocercus
Nothocercus bonapartei,Highland Tinamou,higtin1,Tinamiformes,Tinamidae,Nothocercus
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,Tinamiformes,Tinamidae,Nothocercus
Tinamus tao,Gray Tinamou,grytin1,Tinamiformes,Tinamidae,Tinamus
Tinamus solitarius,Solitary Tinamou,soltin1,Tinamiformes,Tinamidae,Tinamus
Tinamus osgoodi,Black Tinamou,blatin1,Tinamiformes,Tinamidae,Tinamus
Tinamus major,Great Tinamou,gretin1,Tinamiformes,Tinamidae,Tinamus
Tinamus guttatus,White-throated Tinamou,whttin1,Tinamiformes,Tinamidae,Tinamus
Crypturellus cinereus,Cinereous Tinamou,cintin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus soui,Little Tinamou,littin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus ptaritepui,Tepui Tinamou,teptin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus obsoletus,Brown Tinamou,brotin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus undulatus,Undulated Tinamou,undtin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus strigulosus,Brazilian Tinamou,bratin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus duidae,Gray-legged Tinamou,gyltin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus erythropus,Red-legged Tinamou,reltin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus kerriae,Choco Tinamou,chotin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus variegatus,Variegated Tinamou,vartin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus brevirostris,Rusty Tinamou,rustin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus bartletti,Bartlett's Tinamou,bartin2,Tinamiformes,Tinamidae,Crypturellus
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus casiquiare,Barred Tinamou,bartin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus tataupa,Tataupa Tinamou,tattin1,Tinamiformes,Tinamidae,Crypturellus
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,Tinamiformes,Tinamidae,Rhynchotus
Rhynchotus maculicollis,Huayco Tinamou,huatin1,Tinamiformes,Tinamidae,Rhynchotus
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,Tinamiformes,Tinamidae,Nothoprocta
Nothoprocta ornata,Ornate Tinamou,orntin1,Tinamiformes,Tinamidae,Nothoprocta
Nothoprocta perdicaria,Chilean Tinamou,chitin1,Tinamiformes,Tinamidae,Nothoprocta
Nothoprocta cinerascens,Brushland Tinamou,brutin1,Tinamiformes,Tinamidae,Nothoprocta
Nothoprocta pentlandii,Andean Tinamou,andtin1,Tinamiformes,Tinamidae,Nothoprocta
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,Tinamiformes,Tinamidae,Nothoprocta
Nothura boraquira,White-bellied Nothura,whbnot1,Tinamiformes,Tinamidae,Nothura
Nothura minor,Lesser Nothura,lesnot1,Tinamiformes,Tinamidae,Nothura
Nothura darwinii,Darwin's Nothura,darnot1,Tinamiformes,Tinamidae,Nothura
Nothura maculosa,Spotted Nothura,sponot1,Tinamiformes,Tinamidae,Nothura
Taoniscus nanus,Dwarf Tinamou,dwatin1,Tinamiformes,Tinamidae,Taoniscus
Eudromia elegans,Elegant Crested-Tinamou,elctin1,Tinamiformes,Tinamidae,Eudromia
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,Tinamiformes,Tinamidae,Eudromia
Tinamotis pentlandii,Puna Tinamou,puntin1,Tinamiformes,Tinamidae,Tinamotis
Tinamotis ingoufi,Patagonian Tinamou,pattin1,Tinamiformes,Tinamidae,Tinamotis
Casuarius casuarius,Southern Cassowary,soucas1,Casuariiformes,Casuariidae,Casuarius
Casuarius bennetti,Dwarf Cassowary,dwacas1,Casuariiformes,Casuariidae,Casuarius
Casuarius unappendiculatus,Northern Cassowary,norcas1,Casuariiformes,Casuariidae,Casuarius
Dromaius novaehollandiae,Emu,emu1,Casuariiformes,Casuariidae,Dromaius
Apteryx australis,Southern Brown Kiwi,sobkiw1,Apterygiformes,Apterygidae,Apteryx
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,Apterygiformes,Apterygidae,Apteryx
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,Apterygiformes,Apterygidae,Apteryx
Apteryx owenii,Little Spotted Kiwi,liskiw1,Apterygiformes,Apterygidae,Apteryx
Apteryx haastii,Great Spotted Kiwi,grskiw1,Apterygiformes,Apterygidae,Apteryx
Anhima cornuta,Horned Screamer,horscr1,Anseriformes,Anhimidae,Anhima
Chauna torquata,Southern Screamer,souscr1,Anseriformes,Anhimidae,Chauna
Chauna chavaria,Northern Screamer,norscr1,Anseriformes,Anhimidae,Chauna
Anseranas semipalmata,Magpie Goose,maggoo1,Anseriformes,Anseranatidae,Anseranas
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,Anseriformes,Anatidae,Dendrocygna
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,Anseriformes,Anatidae,Dendrocygna
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,Anseriformes,Anatidae,Dendrocygna
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,Anseriformes,Anatidae,Dendrocygna
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,Anseriformes,Anatidae,Dendrocygna
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,Anseriformes,Anatidae,Dendrocygna
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1,Anseriformes,Anatidae,Dendrocygna
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,Anseriformes,Anatidae,Dendrocygna
Thalassornis leuconotus,White-backed Duck,whbduc1,Anseriformes,Anatidae,Thalassornis
Anser indicus,Bar-headed Goose,bahgoo,Anseriformes,Anatidae,Anser
Anser canagicus,Emperor Goose,empgoo,Anseriformes,Anatidae,Anser
Anser caerulescens,Snow Goose,snogoo,Anseriformes,Anatidae,Anser
Anser rossii,Ross's Goose,rosgoo,Anseriformes,Anatidae,Anser
Anser anser,Graylag Goose,gragoo,Anseriformes,Anatidae,Anser
Anser cygnoides,Swan Goose,swagoo1,Anseriformes,Anatidae,Anser
Anser albifrons,Greater White-fronted Goose,gwfgoo,Anseriformes,Anatidae,Anser
Anser erythropus,Lesser White-fronted Goose,lwfgoo,Anseriformes,Anatidae,Anser
Anser fabalis,Taiga Bean-Goose,taibeg1,Anseriformes,Anatidae,Anser
Anser serrirostris,Tundra Bean-Goose,tunbeg1,Anseriformes,Anatidae,Anser
Anser brachyrhynchus,Pink-footed Goose,pifgoo,Anseriformes,Anatidae,Anser
Branta bernicla,Brant,brant,Anseriformes,Anatidae,Branta
Branta leucopsis,Barnacle Goose,bargoo,Anseriformes,Anatidae,Branta
Branta hutchinsii,Cackling Goose,cacgoo1,Anseriformes,Anatidae,Branta
Branta canadensis,Canada Goose,cangoo,Anseriformes,Anatidae,Branta
Branta sandvicensis,Hawaiian Goose,hawgoo,Anseriformes,Anatidae,Branta
Branta ruficollis,Red-breasted Goose,rebgoo1,Anseriformes,Anatidae,Branta
Cereopsis novaehollandiae,Cape Barren Goose,cabgoo1,Anseriformes,Anatidae,Cereopsis
Stictonetta naevosa,Freckled Duck,freduc1,Anseriformes,Anatidae,Stictonetta
Cyanochen cyanoptera,Blue-winged Goose,buwgoo1,Anseriformes,Anatidae,Cyanochen
Cygnus olor,Mute Swan,mutswa,Anseriformes,Anatidae,Cygnus
Cygnus atratus,Black Swan,blkswa,Anseriformes,Anatidae,Cygnus
Cygnus melancoryphus,Black-necked Swan,blnswa2,Anseriformes,Anatidae,Cygnus
Cygnus buccinator,Trumpeter Swan,truswa,Anseriformes,Anatidae,Cygnus
Cygnus columbianus,Tundra Swan,tunswa,Anseriformes,Anatidae,Cygnus
Cygnus cygnus,Whooper Swan,whoswa,Anseriformes,Anatidae,Cygnus
Coscoroba coscoroba,Coscoroba Swan,cosswa1,Anseriformes,Anatidae,Coscoroba
Sarkidiornis melanotos,Knob-billed Duck,comduc2,Anseriformes,Anatidae,Sarkidiornis
Sarkidiornis sylvicola,Comb Duck,comduc3,Anseriformes,Anatidae,Sarkidiornis
Pteronetta hartlaubii,Hartlaub's Duck,harduc1,Anseriformes,Anatidae,Pteronetta
Oressochen jubatus,Orinoco Goose,origoo1,Anseriformes,Anatidae,Oressochen
Oressochen melanopterus,Andean Goose,andgoo1,Anseriformes,Anatidae,Oressochen
Chloephaga picta,Upland Goose,uplgoo1,Anseriformes,Anatidae,Chloephaga
Chloephaga hybrida,Kelp Goose,kelgoo1,Anseriformes,Anatidae,Chloephaga
Chloephaga poliocephala,Ashy-headed Goose,ashgoo1,Anseriformes,Anatidae,Chloephaga
Chloephaga rubidiceps,Ruddy-headed Goose,ruhgoo1,Anseriformes,Anatidae,Chloephaga
Radjah radjah,Radjah Shelduck,radshe1,Anseriformes,Anatidae,Radjah
Alopochen aegyptiaca,Egyptian Goose,egygoo,Anseriformes,Anatidae,Alopochen
Alopochen mauritiana,Mauritius Shelduck,maushe1,Anseriformes,Anatidae,Alopochen
Alopochen kervazoi,Reunion Shelduck,reushe1,Anseriformes,Anatidae,Alopochen
Tadorna ferruginea,Ruddy Shelduck,rudshe,Anseriformes,Anatidae,Tadorna
Tadorna cana,South African Shelduck,soashe1,Anseriformes,Anatidae,Tadorna
Tadorna tadornoides,Australian Shelduck,ausshe1,Anseriformes,Anatidae,Tadorna
Tadorna variegata,Paradise Shelduck,parshe1,Anseriformes,Anatidae,Tadorna
Tadorna tadorna,Common Shelduck,comshe,Anseriformes,Anatidae,Tadorna
Tadorna cristata,Crested Shelduck,creshe1,Anseriformes,Anatidae,Tadorna
Plectropterus gambensis,Spur-winged Goose,spwgoo1,Anseriformes,Anatidae,Plectropterus
Tachyeres patachonicus,Flying Steamer-Duck,flystd1,Anseriformes,Anatidae,Tachyeres
Tachyeres pteneres,Flightless Steamer-Duck,flistd1,Anseriformes,Anatidae,Tachyeres
Tachyeres brachypterus,Falkland Steamer-Duck,falstd1,Anseriformes,Anatidae,Tachyeres
Tachyeres leucocephalus,White-headed Steamer-Duck,whhstd1,Anseriformes,Anatidae,Tachyeres
Lophonetta specularioides,Crested Duck,creduc1,Anseriformes,Anatidae,Lophonetta
Speculanas specularis,Spectacled Duck,speduc2,Anseriformes,Anatidae,Speculanas
Cairina moschata,Muscovy Duck,musduc,Anseriformes,Anatidae,Cairina
Nettapus pulchellus,Green Pygmy-Goose,grnpyg1,Anseriformes,Anatidae,Nettapus
Nettapus coromandelianus,Cotton Pygmy-Goose,copgoo1,Anseriformes,Anatidae,Nettapus
Nettapus auritus,African Pygmy-Goose,afrpyg1,Anseriformes,Anatidae,Nettapus
Callonetta leucophrys,Ringed Teal,rintea1,Anseriformes,Anatidae,Callonetta
Aix sponsa,Wood Duck,wooduc,Anseriformes,Anatidae,Aix
Aix galericulata,Mandarin Duck,manduc,Anseriformes,Anatidae,Aix
Chenonetta jubata,Maned Duck,manduc1,Anseriformes,Anatidae,Chenonetta
Chenonetta finschi,Finsch's Duck,finduc1,Anseriformes,Anatidae,Chenonetta
Amazonetta brasiliensis,Brazilian Teal,bratea1,Anseriformes,Anatidae,Amazonetta
Hymenolaimus malacorhynchos,Blue Duck,bluduc1,Anseriformes,Anatidae,Hymenolaimus
Merganetta armata,Torrent Duck,torduc1,Anseriformes,Anatidae,Merganetta
Salvadorina waigiuensis,Salvadori's Teal,saltea1,Anseriformes,Anatidae,Salvadorina
Sibirionetta formosa,Baikal Teal,baitea,Anseriformes,Anatidae,Sibirionetta
Spatula querquedula,Garganey,gargan,Anseriformes,Anatidae,Spatula
Spatula hottentota,Blue-billed Teal,hottea1,Anseriformes,Anatidae,Spatula
Spatula versicolor,Silver Teal,siltea1,Anseriformes,Anatidae,Spatula
Spatula puna,Puna Teal,puntea1,Anseriformes,Anatidae,Spatula
Spatula discors,Blue-winged Teal,buwtea,Anseriformes,Anatidae,Spatula
Spatula cyanoptera,Cinnamon Teal,cintea,Anseriformes,Anatidae,Spatula
Spatula platalea,Red Shoveler,redsho1,Anseriformes,Anatidae,Spatula
Spatula smithii,Cape Shoveler,capsho1,Anseriformes,Anatidae,Spatula
Spatula rhynchotis,Australasian Shoveler,aussho1,Anseriformes,Anatidae,Spatula
Spatula clypeata,Northern Shoveler,norsho,Anseriformes,Anatidae,Spatula
Mareca strepera,Gadwall,gadwal,Anseriformes,Anatidae,Mareca
Mareca falcata,Falcated Duck,falduc,Anseriformes,Anatidae,Mareca
Mareca penelope,Eurasian Wigeon,eurwig,Anseriformes,Anatidae,Mareca
Mareca americana,American Wigeon,amewig,Anseriformes,Anatidae,Mareca
Mareca sibilatrix,Chiloe Wigeon,chiwig1,Anseriformes,Anatidae,Mareca
Mareca marecula,Amsterdam Duck,amsduc1,Anseriformes,Anatidae,Mareca
Anas sparsa,African Black Duck,afbduc1,Anseriformes,Anatidae,Anas
Anas undulata,Yellow-billed Duck,yebduc1,Anseriformes,Anatidae,Anas
Anas melleri,Meller's Duck,melduc1,Anseriformes,Anatidae,Anas
Anas superciliosa,Pacific Black Duck,pabduc1,Anseriformes,Anatidae,Anas
Anas laysanensis,Laysan Duck,layduc,Anseriformes,Anatidae,Anas
Anas wyvilliana,Hawaiian Duck,hawduc,Anseriformes,Anatidae,Anas
Anas luzonica,Philippine Duck,phiduc1,Anseriformes,Anatidae,Anas
Anas poecilorhyncha,Indian Spot-billed Duck,isbduc1,Anseriformes,Anatidae,Anas
Anas zonorhyncha,Eastern Spot-billed Duck,spbduc,Anseriformes,Anatidae,Anas
Anas platyrhynchos,Mallard,mallar3,Anseriformes,Anatidae,Anas
Anas diazi,Mexican Duck,mexduc,Anseriformes,Anatidae,Anas
Anas rubripes,American Black Duck,ambduc,Anseriformes,Anatidae,Anas
Anas fulvigula,Mottled Duck,motduc,Anseriformes,Anatidae,Anas
Anas capensis,Cape Teal,captea1,Anseriformes,Anatidae,Anas
Anas bahamensis,White-cheeked Pintail,whcpin,Anseriformes,Anatidae,Anas
Anas erythrorhyncha,Red-billed Duck,rebduc1,Anseriformes,Anatidae,Anas
Anas acuta,Northern Pintail,norpin,Anseriformes,Anatidae,Anas
Anas eatoni,Eaton's Pintail,eatpin1,Anseriformes,Anatidae,Anas
Anas georgica,Yellow-billed Pintail,yebpin1,Anseriformes,Anatidae,Anas
Anas crecca,Green-winged Teal,gnwtea,Anseriformes,Anatidae,Anas
Anas andium,Andean Teal,spetea3,Anseriformes,Anatidae,Anas
Anas flavirostris,Yellow-billed Teal,yebtea1,Anseriformes,Anatidae,Anas
Anas theodori,Mauritius Duck,mauduc1,Anseriformes,Anatidae,Anas
Anas albogularis,Andaman Teal,andtea1,Anseriformes,Anatidae,Anas
Anas gibberifrons,Sunda Teal,suntea1,Anseriformes,Anatidae,Anas
Anas gracilis,Gray Teal,gretea1,Anseriformes,Anatidae,Anas
Anas castanea,Chestnut Teal,chetea1,Anseriformes,Anatidae,Anas
Anas bernieri,Bernier's Teal,bertea1,Anseriformes,Anatidae,Anas
Anas aucklandica,Auckland Islands Teal,auitea1,Anseriformes,Anatidae,Anas
Anas nesiotis,Campbell Islands Teal,caitea1,Anseriformes,Anatidae,Anas
Anas chlorotis,Brown Teal,brotea1,Anseriformes,Anatidae,Anas
Malacorhynchus membranaceus,Pink-eared Duck,pieduc1,Anseriformes,Anatidae,Malacorhynchus
Marmaronetta angustirostris,Marbled Duck,martea1,Anseriformes,Anatidae,Marmaronetta
Rhodonessa caryophyllacea,Pink-headed Duck,pihduc1,Anseriformes,Anatidae,Rhodonessa
Asarcornis scutulata,White-winged Duck,whwduc1,Anseriformes,Anatidae,Asarcornis
Netta rufina,Red-crested Pochard,recpoc,Anseriformes,Anatidae,Netta
Netta erythrophthalma,Southern Pochard,soupoc1,Anseriformes,Anatidae,Netta
Netta peposaca,Rosy-billed Pochard,robpoc1,Anseriformes,Anatidae,Netta
Aythya valisineria,Canvasback,canvas,Anseriformes,Anatidae,Aythya
Aythya americana,Redhead,redhea,Anseriformes,Anatidae,Aythya
Aythya ferina,Common Pochard,compoc,Anseriformes,Anatidae,Aythya
Aythya collaris,Ring-necked Duck,rinduc,Anseriformes,Anatidae,Aythya
Aythya nyroca,Ferruginous Duck,ferduc,Anseriformes,Anatidae,Aythya
Aythya innotata,Madagascar Pochard,madpoc1,Anseriformes,Anatidae,Aythya
Aythya baeri,Baer's Pochard,baepoc1,Anseriformes,Anatidae,Aythya
Aythya australis,Hardhead,wheduc1,Anseriformes,Anatidae,Aythya
Aythya fuligula,Tufted Duck,tufduc,Anseriformes,Anatidae,Aythya
Aythya novaeseelandiae,New Zealand Scaup,nezsca1,Anseriformes,Anatidae,Aythya
Aythya marila,Greater Scaup,gresca,Anseriformes,Anatidae,Aythya
Aythya affinis,Lesser Scaup,lessca,Anseriformes,Anatidae,Aythya
Polysticta stelleri,Steller's Eider,steeid,Anseriformes,Anatidae,Polysticta
Camptorhynchus labradorius,Labrador Duck,labduc,Anseriformes,Anatidae,Camptorhynchus
Somateria fischeri,Spectacled Eider,speeid,Anseriformes,Anatidae,Somateria
Somateria spectabilis,King Eider,kineid,Anseriformes,Anatidae,Somateria
Somateria mollissima,Common Eider,comeid,Anseriformes,Anatidae,Somateria
Histrionicus histrionicus,Harlequin Duck,harduc,Anseriformes,Anatidae,Histrionicus
Melanitta perspicillata,Surf Scoter,sursco,Anseriformes,Anatidae,Melanitta
Melanitta fusca,Velvet Scoter,whwsco3,Anseriformes,Anatidae,Melanitta
Melanitta deglandi,White-winged Scoter,whwsco2,Anseriformes,Anatidae,Melanitta
Melanitta stejnegeri,Stejneger's Scoter,whwsco1,Anseriformes,Anatidae,Melanitta
Melanitta nigra,Common Scoter,blksco1,Anseriformes,Anatidae,Melanitta
Melanitta americana,Black Scoter,blksco2,Anseriformes,Anatidae,Melanitta
Clangula hyemalis,Long-tailed Duck,lotduc,Anseriformes,Anatidae,Clangula
Bucephala albeola,Bufflehead,buffle,Anseriformes,Anatidae,Bucephala
Bucephala clangula,Common Goldeneye,comgol,Anseriformes,Anatidae,Bucephala
Bucephala islandica,Barrow's Goldeneye,bargol,Anseriformes,Anatidae,Bucephala
Mergellus albellus,Smew,smew,Anseriformes,Anatidae,Mergellus
Lophodytes cucullatus,Hooded Merganser,hoomer,Anseriformes,Anatidae,Lophodytes
Mergus australis,Auckland Islands Merganser,auimer1,Anseriformes,Anatidae,Mergus
Mergus merganser,Common Merganser,commer,Anseriformes,Anatidae,Mergus
Mergus octosetaceus,Brazilian Merganser,bramer1,Anseriformes,Anatidae,Mergus
Mergus serrator,Red-breasted Merganser,rebmer,Anseriformes,Anatidae,Mergus
Mergus squamatus,Scaly-sided Merganser,scsmer1,Anseriformes,Anatidae,Mergus
Heteronetta atricapilla,Black-headed Duck,blhduc1,Anseriformes,Anatidae,Heteronetta
Nomonyx dominicus,Masked Duck,masduc,Anseriformes,Anatidae,Nomonyx
Oxyura jamaicensis,Ruddy Duck,rudduc,Anseriformes,Anatidae,Oxyura
Oxyura ferruginea,Andean Duck,andduc1,Anseriformes,Anatidae,Oxyura
Oxyura leucocephala,White-headed Duck,whhduc1,Anseriformes,Anatidae,Oxyura
Oxyura maccoa,Maccoa Duck,macduc1,Anseriformes,Anatidae,Oxyura
Oxyura vittata,Lake Duck,lakduc1,Anseriformes,Anatidae,Oxyura
Oxyura australis,Blue-billed Duck,blbduc1,Anseriformes,Anatidae,Oxyura
Biziura lobata,Musk Duck,musduc1,Anseriformes,Anatidae,Biziura
Alectura lathami,Australian Brushturkey,ausbrt1,Galliformes,Megapodiidae,Alectura
Aepypodius arfakianus,Wattled Brushturkey,watbrt1,Galliformes,Megapodiidae,Aepypodius
Aepypodius bruijnii,Waigeo Brushturkey,brubrt1,Galliformes,Megapodiidae,Aepypodius
Talegalla cuvieri,Red-billed Brushturkey,rebbrt1,Galliformes,Megapodiidae,Talegalla
Talegalla fuscirostris,Yellow-legged Brushturkey,bkbbrt1,Galliformes,Megapodiidae,Talegalla
Talegalla jobiensis,Red-legged Brushturkey,bncbrt1,Galliformes,Megapodiidae,Talegalla
Leipoa ocellata,Malleefowl,mallee1,Galliformes,Megapodiidae,Leipoa
Macrocephalon maleo,Maleo,maleo1,Galliformes,Megapodiidae,Macrocephalon
Eulipoa wallacei,Moluccan Megapode,molscr1,Galliformes,Megapodiidae,Eulipoa
Megapodius pritchardii,Tongan Megapode,niuscr1,Galliformes,Megapodiidae,Megapodius
Megapodius laperouse,Micronesian Megapode,micscr1,Galliformes,Megapodiidae,Megapodius
Megapodius nicobariensis,Nicobar Megapode,nicscr1,Galliformes,Megapodiidae,Megapodius
Megapodius cumingii,Philippine Megapode,tabscr1,Galliformes,Megapodiidae,Megapodius
Megapodius bernsteinii,Sula Megapode,sulscr1,Galliformes,Megapodiidae,Megapodius
Megapodius tenimberensis,Tanimbar Megapode,tanscr1,Galliformes,Megapodiidae,Megapodius
Megapodius freycinet,Dusky Megapode,dusscr1,Galliformes,Megapodiidae,Megapodius
Megapodius geelvinkianus,Biak Megapode,dusscr3,Galliformes,Megapodiidae,Megapodius
Megapodius eremita,Melanesian Megapode,melscr1,Galliformes,Megapodiidae,Megapodius
Megapodius layardi,Vanuatu Megapode,vanscr1,Galliformes,Megapodiidae,Megapodius
Megapodius decollatus,New Guinea Megapode,negscr1,Galliformes,Megapodiidae,Megapodius
Megapodius reinwardt,Orange-footed Megapode,orfscr1,Galliformes,Megapodiidae,Megapodius
Ortalis vetula,Plain Chachalaca,placha,Galliformes,Cracidae,Ortalis
Ortalis cinereiceps,Gray-headed Chachalaca,grhcha1,Galliformes,Cracidae,Ortalis
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,Galliformes,Cracidae,Ortalis
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,Galliformes,Cracidae,Ortalis
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,Galliformes,Cracidae,Ortalis
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,Galliformes,Cracidae,Ortalis
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,Galliformes,Cracidae,Ortalis
Ortalis canicollis,Chaco Chachalaca,chacha1,Galliformes,Cracidae,Ortalis
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,Galliformes,Cracidae,Ortalis
Ortalis columbiana,Colombian Chachalaca,colcha1,Galliformes,Cracidae,Ortalis
Ortalis guttata,Speckled Chachalaca,specha3,Galliformes,Cracidae,Ortalis
Ortalis araucuan,East Brazilian Chachalaca,specha2,Galliformes,Cracidae,Ortalis
Ortalis squamata,Scaled Chachalaca,specha4,Galliformes,Cracidae,Ortalis
Ortalis motmot,Variable Chachalaca,varcha1,Galliformes,Cracidae,Ortalis
Ortalis ruficeps,Chestnut-headed Chachalaca,varcha3,Galliformes,Cracidae,Ortalis
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,Galliformes,Cracidae,Ortalis
Penelope argyrotis,Band-tailed Guan,batgua1,Galliformes,Cracidae,Penelope
Penelope barbata,Bearded Guan,beagua1,Galliformes,Cracidae,Penelope
Penelope ortoni,Baudo Guan,baugua1,Galliformes,Cracidae,Penelope
Penelope montagnii,Andean Guan,andgua1,Galliformes,Cracidae,Penelope
Penelope marail,Marail Guan,margua1,Galliformes,Cracidae,Penelope
Penelope superciliaris,Rusty-margined Guan,rumgua1,Galliformes,Cracidae,Penelope
Penelope dabbenei,Red-faced Guan,refgua1,Galliformes,Cracidae,Penelope
Penelope jacquacu,Spix's Guan,spigua1,Galliformes,Cracidae,Penelope
Penelope purpurascens,Crested Guan,cregua1,Galliformes,Cracidae,Penelope
Penelope perspicax,Cauca Guan,caugua1,Galliformes,Cracidae,Penelope
Penelope albipennis,White-winged Guan,whwgua1,Galliformes,Cracidae,Penelope
Penelope obscura,Dusky-legged Guan,dulgua1,Galliformes,Cracidae,Penelope
Penelope bridgesi,Yungas Guan,dulgua3,Galliformes,Cracidae,Penelope
Penelope pileata,White-crested Guan,whcgua1,Galliformes,Cracidae,Penelope
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,Galliformes,Cracidae,Penelope
Penelope jacucaca,White-browed Guan,whbgua1,Galliformes,Cracidae,Penelope
Pipile pipile,Trinidad Piping-Guan,trpgua1,Galliformes,Cracidae,Pipile
Pipile cumanensis,Blue-throated Piping-Guan,butpig1,Galliformes,Cracidae,Pipile
Pipile grayi,White-throated Piping-Guan,butpig2,Galliformes,Cracidae,Pipile
Pipile cujubi,Red-throated Piping-Guan,rtpgua1,Galliformes,Cracidae,Pipile
Pipile jacutinga,Black-fronted Piping-Guan,bfpgua1,Galliformes,Cracidae,Pipile
Aburria aburri,Wattled Guan,watgua1,Galliformes,Cracidae,Aburria
Chamaepetes unicolor,Black Guan,blagua1,Galliformes,Cracidae,Chamaepetes
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,Galliformes,Cracidae,Chamaepetes
Penelopina nigra,Highland Guan,higgua1,Galliformes,Cracidae,Penelopina
Oreophasis derbianus,Horned Guan,horgua1,Galliformes,Cracidae,Oreophasis
Nothocrax urumutum,Nocturnal Curassow,noccur1,Galliformes,Cracidae,Nothocrax
Mitu tomentosum,Crestless Curassow,crecur2,Galliformes,Cracidae,Mitu
Mitu salvini,Salvin's Curassow,salcur1,Galliformes,Cracidae,Mitu
Mitu tuberosum,Razor-billed Curassow,rabcur2,Galliformes,Cracidae,Mitu
Mitu mitu,Alagoas Curassow,alacur1,Galliformes,Cracidae,Mitu
Pauxi pauxi,Helmeted Curassow,helcur1,Galliformes,Cracidae,Pauxi
Pauxi koepckeae,Sira Curassow,horcur2,Galliformes,Cracidae,Pauxi
Pauxi unicornis,Horned Curassow,horcur3,Galliformes,Cracidae,Pauxi
Crax rubra,Great Curassow,grecur1,Galliformes,Cracidae,Crax
Crax alberti,Blue-billed Curassow,bubcur1,Galliformes,Cracidae,Crax
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,Galliformes,Cracidae,Crax
Crax alector,Black Curassow,blacur1,Galliformes,Cracidae,Crax
Crax globulosa,Wattled Curassow,watcur1,Galliformes,Cracidae,Crax
Crax fasciolata,Bare-faced Curassow,bafcur1,Galliformes,Cracidae,Crax
Crax blumenbachii,Red-billed Curassow,rebcur1,Galliformes,Cracidae,Crax
Numida meleagris,Helmeted Guineafowl,helgui,Galliformes,Numididae,Numida
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,Galliformes,Numididae,Agelastes
