scientific_name,birdlife_common_name,birdlife_order,birdlife_family,birdlife_iucn_status,genus
Struthio camelus,Common Ostrich,STRUTHIONIFORMES,Struthionidae,LC,Struthio
Struthio molybdophanes,Somali Ostrich,STRUTHIONIFORMES,Struthionidae,VU,Struthio
Rhea americana,Greater Rhea,STRUTHIONIFORMES,Rheidae,NT,Rhea
Rhea pennata,Lesser Rhea,STRUTHIONIFORMES,Rheidae,LC,Rhea
Nothocercus julius,Tawny-breasted Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Nothocercus
Nothocercus bonapartei,Highland Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Nothocercus
Nothocercus nigrocapillus,Hooded Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Nothocercus
Tinamus tao,Grey Tinamou,STRUTHIONIFORMES,Tinamidae,VU,Tinamus
Tinamus solitarius,Solitary Tinamou,STRUTHIONIFORMES,Tinamidae,NT,Tinamus
Tinamus osgoodi,Black Tinamou,STRUTHIONIFORMES,Tinamidae,VU,Tinamus
Tinamus major,Great Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Tinamus
Tinamus guttatus,White-throated Tinamou,STRUTHIONIFORMES,Tinamidae,NT,Tinamus
Crypturellus berlepschi,Berlepsch's Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus cinereus,Cinereous Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus ptaritepui,Tepui Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus soui,Little Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus obsoletus,Brown Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus undulatus,Undulated Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus strigulosus,Brazilian Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus duidae,Grey-legged Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus erythropus,Red-legged Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus noctivagus,Yellow-legged Tinamou,STRUTHIONIFORMES,Tinamidae,NT,Crypturellus
Crypturellus atrocapillus,Black-capped Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus cinnamomeus,Thicket Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus transfasciatus,Pale-browed Tinamou,STRUTHIONIFORMES,Tinamidae,NT,Crypturellus
Crypturellus boucardi,Slaty-breasted Tinamou,STRUTHIONIFORMES,Tinamidae,VU,Crypturellus
Crypturellus kerriae,Choco Tinamou,STRUTHIONIFORMES,Tinamidae,NT,Crypturellus
Crypturellus variegatus,Variegated Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus brevirostris,Rusty Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus bartletti,Bartlett's Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus casiquiare,Barred Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus parvirostris,Small-billed Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus tataupa,Tataupa Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Rhynchotus rufescens,Red-winged Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Rhynchotus
Rhynchotus maculicollis,Huayco Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Rhynchotus
Nothoprocta taczanowskii,Taczanowski's Tinamou,STRUTHIONIFORMES,Tinamidae,VU,Nothoprocta
Nothoprocta ornata,Ornate Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Nothoprocta
Nothoprocta perdicaria,Chilean Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Nothoprocta
Nothoprocta cinerascens,Brushland Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Nothoprocta
Nothoprocta pentlandii,Andean Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Nothoprocta
Nothoprocta curvirostris,Curve-billed Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Nothoprocta
Nothura boraquira,White-bellied Nothura,STRUTHIONIFORMES,Tinamidae,LC,Nothura
Nothura minor,Lesser Nothura,STRUTHIONIFORMES,Tinamidae,VU,Nothura
Nothura darwinii,Darwin's Nothura,STRUTHIONIFORMES,Tinamidae,LC,Nothura
Nothura maculosa,Spotted Nothura,STRUTHIONIFORMES,Tinamidae,LC,Nothura
Taoniscus nanus,Dwarf Tinamou,STRUTHIONIFORMES,Tinamidae,EN,Taoniscus
Eudromia elegans,Elegant Crested Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Eudromia
Eudromia formosa,Quebracho Crested Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Eudromia
Tinamotis pentlandii,Puna Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Tinamotis
Tinamotis ingoufi,Patagonian Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Tinamotis
Casuarius casuarius,Southern Cassowary,STRUTHIONIFORMES,Casuariidae,LC,Casuarius
Casuarius bennetti,Dwarf Cassowary,STRUTHIONIFORMES,Casuariidae,LC,Casuarius
Casuarius unappendiculatus,Northern Cassowary,STRUTHIONIFORMES,Casuariidae,LC,Casuarius
Dromaius novaehollandiae,Common Emu,STRUTHIONIFORMES,Casuariidae,LC,Dromaius
Dromaius minor,King Island Emu,STRUTHIONIFORMES,Casuariidae,EX,Dromaius
Dromaius baudinianus,Kangaroo Island Emu,STRUTHIONIFORMES,Casuariidae,EX,Dromaius
Apteryx haastii,Great Spotted Kiwi,STRUTHIONIFORMES,Apterygidae,VU,Apteryx
Apteryx owenii,Little Spotted Kiwi,STRUTHIONIFORMES,Apterygidae,NT,Apteryx
Apteryx mantelli,North Island Brown Kiwi,STRUTHIONIFORMES,Apterygidae,VU,Apteryx
Apteryx australis,Southern Brown Kiwi,STRUTHIONIFORMES,Apterygidae,VU,Apteryx
Apteryx rowi,Okarito Kiwi,STRUTHIONIFORMES,Apterygidae,VU,Apteryx
Alectura lathami,Australian Brushturkey,GALLIFORMES,Megapodiidae,LC,Alectura
Aepypodius arfakianus,Wattled Brushturkey,GALLIFORMES,Megapodiidae,LC,Aepypodius
Aepypodius bruijnii,Waigeo Brushturkey,GALLIFORMES,Megapodiidae,EN,Aepypodius
Talegalla cuvieri,Red-billed Brushturkey,GALLIFORMES,Megapodiidae,LC,Talegalla
Talegalla fuscirostris,Yellow-legged Brushturkey,GALLIFORMES,Megapodiidae,LC,Talegalla
Talegalla jobiensis,Red-legged Brushturkey,GALLIFORMES,Megapodiidae,LC,Talegalla
Leipoa ocellata,Malleefowl,GALLIFORMES,Megapodiidae,VU,Leipoa
Macrocephalon maleo,Maleo,GALLIFORMES,Megapodiidae,CR,Macrocephalon
Eulipoa wallacei,Moluccan Scrubfowl,GALLIFORMES,Megapodiidae,VU,Eulipoa
Megapodius nicobariensis,Nicobar Scrubfowl,GALLIFORMES,Megapodiidae,VU,Megapodius
Megapodius cumingii,Philippine Scrubfowl,GALLIFORMES,Megapodiidae,LC,Megapodius
Megapodius bernsteinii,Sula Scrubfowl,GALLIFORMES,Megapodiidae,VU,Megapodius
Megapodius tenimberensis,Tanimbar Scrubfowl,GALLIFORMES,Megapodiidae,VU,Megapodius
Megapodius layardi,Vanuatu Scrubfowl,GALLIFORMES,Megapodiidae,LC,Megapodius
Megapodius laperouse,Micronesian Scrubfowl,GALLIFORMES,Megapodiidae,NT,Megapodius
Megapodius pritchardii,Tongan Scrubfowl,GALLIFORMES,Megapodiidae,VU,Megapodius
Megapodius freycinet,Dusky Scrubfowl,GALLIFORMES,Megapodiidae,LC,Megapodius
Megapodius geelvinkianus,Biak Scrubfowl,GALLIFORMES,Megapodiidae,NT,Megapodius
Megapodius decollatus,New Guinea Scrubfowl,GALLIFORMES,Megapodiidae,LC,Megapodius
Megapodius eremita,Melanesian Scrubfowl,GALLIFORMES,Megapodiidae,LC,Megapodius
Megapodius reinwardt,Orange-footed Scrubfowl,GALLIFORMES,Megapodiidae,LC,Megapodius
Chamaepetes unicolor,Black Guan,GALLIFORMES,Cracidae,LC,Chamaepetes
Chamaepetes goudotii,Sickle-winged Guan,GALLIFORMES,Cracidae,LC,Chamaepetes
Penelopina nigra,Highland Guan,GALLIFORMES,Cracidae,VU,Penelopina
Penelope argyrotis,Band-tailed Guan,GALLIFORMES,Cracidae,LC,Penelope
Penelope barbata,Bearded Guan,GALLIFORMES,Cracidae,NT,Penelope
Penelope ortoni,Baudo Guan,GALLIFORMES,Cracidae,EN,Penelope
Penelope montagnii,Andean Guan,GALLIFORMES,Cracidae,LC,Penelope
Penelope marail,Marail Guan,GALLIFORMES,Cracidae,LC,Penelope
Penelope superciliaris,Rusty-margined Guan,GALLIFORMES,Cracidae,NT,Penelope
Penelope dabbenei,Red-faced Guan,GALLIFORMES,Cracidae,LC,Penelope
Penelope jacquacu,Spix's Guan,GALLIFORMES,Cracidae,LC,Penelope
Penelope purpurascens,Crested Guan,GALLIFORMES,Cracidae,NT,Penelope
Penelope perspicax,Cauca Guan,GALLIFORMES,Cracidae,VU,Penelope
Penelope albipennis,White-winged Guan,GALLIFORMES,Cracidae,EN,Penelope
Penelope obscura,Dusky-legged Guan,GALLIFORMES,Cracidae,LC,Penelope
Penelope pileata,White-crested Guan,GALLIFORMES,Cracidae,VU,Penelope
Penelope ochrogaster,Chestnut-bellied Guan,GALLIFORMES,Cracidae,VU,Penelope
Penelope jacucaca,White-browed Guan,GALLIFORMES,Cracidae,VU,Penelope
Pipile pipile,Trinidad Piping-guan,GALLIFORMES,Cracidae,CR,Pipile
Pipile cumanensis,Blue-throated Piping-guan,GALLIFORMES,Cracidae,LC,Pipile
Pipile grayi,White-throated Piping-guan,GALLIFORMES,Cracidae,NT,Pipile
Pipile cujubi,Red-throated Piping-guan,GALLIFORMES,Cracidae,VU,Pipile
Pipile jacutinga,Black-fronted Piping-guan,GALLIFORMES,Cracidae,EN,Pipile
Aburria aburri,Wattled Guan,GALLIFORMES,Cracidae,LC,Aburria
Oreophasis derbianus,Horned Guan,GALLIFORMES,Cracidae,EN,Oreophasis
Ortalis vetula,Plain Chachalaca,GALLIFORMES,Cracidae,LC,Ortalis
Ortalis cinereiceps,Grey-headed Chachalaca,GALLIFORMES,Cracidae,LC,Ortalis
Ortalis garrula,Chestnut-winged Chachalaca,GALLIFORMES,Cracidae,LC,Ortalis
Ortalis ruficauda,Rufous-vented Chachalaca,GALLIFORMES,Cracidae,LC,Ortalis
Ortalis erythroptera,Rufous-headed Chachalaca,GALLIFORMES,Cracidae,VU,Ortalis
Ortalis wagleri,Rufous-bellied Chachalaca,GALLIFORMES,Cracidae,LC,Ortalis
Ortalis poliocephala,West Mexican Chachalaca,GALLIFORMES,Cracidae,LC,Ortalis
Ortalis canicollis,Chaco Chachalaca,GALLIFORMES,Cracidae,LC,Ortalis
Ortalis leucogastra,White-bellied Chachalaca,GALLIFORMES,Cracidae,LC,Ortalis
Ortalis columbiana,Colombian Chachalaca,GALLIFORMES,Cracidae,LC,Ortalis
Ortalis guttata,Speckled Chachalaca,GALLIFORMES,Cracidae,LC,Ortalis
Ortalis araucuan,East Brazilian Chachalaca,GALLIFORMES,Cracidae,LC,Ortalis
Ortalis squamata,Scaled Chachalaca,GALLIFORMES,Cracidae,LC,Ortalis
Ortalis motmot,Little Chachalaca,GALLIFORMES,Cracidae,LC,Ortalis
Ortalis superciliaris,Buff-browed Chachalaca,GALLIFORMES,Cracidae,LC,Ortalis
Nothocrax urumutum,Nocturnal Curassow,GALLIFORMES,Cracidae,LC,Nothocrax
Crax rubra,Great Curassow,GALLIFORMES,Cracidae,VU,Crax
Crax alberti,Blue-billed Curassow,GALLIFORMES,Cracidae,CR,Crax
Crax daubentoni,Yellow-knobbed Curassow,GALLIFORMES,Cracidae,NT,Crax
Crax alector,Black Curassow,GALLIFORMES,Cracidae,LC,Crax
Crax fasciolata,Bare-faced Curassow,GALLIFORMES,Cracidae,VU,Crax
Crax pinima,Belem Curassow,GALLIFORMES,Cracidae,CR,Crax
Crax globulosa,Wattled Curassow,GALLIFORMES,Cracidae,EN,Crax
Crax blumenbachii,Red-billed Curassow,GALLIFORMES,Cracidae,EN,Crax
Mitu tomentosum,Crestless Curassow,GALLIFORMES,Cracidae,LC,Mitu
Mitu mitu,Alagoas Curassow,GALLIFORMES,Cracidae,EW,Mitu
Mitu tuberosum,Razor-billed Curassow,GALLIFORMES,Cracidae,NT,Mitu
Mitu salvini,Salvin's Curassow,GALLIFORMES,Cracidae,LC,Mitu
Pauxi unicornis,Horned Curassow,GALLIFORMES,Cracidae,CR,Pauxi
Pauxi koepckeae,Sira Curassow,GALLIFORMES,Cracidae,CR,Pauxi
Pauxi pauxi,Helmeted Curassow,GALLIFORMES,Cracidae,VU,Pauxi
Numida meleagris,Helmeted Guineafowl,GALLIFORMES,Numididae,LC,Numida
Agelastes meleagrides,White-breasted Guineafowl,GALLIFORMES,Numididae,VU,Agelastes
Agelastes niger,Black Guineafowl,GALLIFORMES,Numididae,LC,Agelastes
Acryllium vulturinum,Vulturine Guineafowl,GALLIFORMES,Numididae,LC,Acryllium
Guttera plumifera,Plumed Guineafowl,GALLIFORMES,Numididae,LC,Guttera
Guttera verreauxi,Western Crested Guineafowl,GALLIFORMES,Numididae,LC,Guttera
Guttera pucherani,Eastern Crested Guineafowl,GALLIFORMES,Numididae,LC,Guttera
Guttera edouardi,Southern Crested Guineafowl,GALLIFORMES,Numididae,LC,Guttera
Ptilopachus petrosus,Stone Partridge,GALLIFORMES,Odontophoridae,LC,Ptilopachus
Ptilopachus nahani,Nahan's Partridge,GALLIFORMES,Odontophoridae,VU,Ptilopachus
Philortyx fasciatus,Banded Quail,GALLIFORMES,Odontophoridae,LC,Philortyx
Oreortyx pictus,Mountain Quail,GALLIFORMES,Odontophoridae,LC,Oreortyx
Colinus virginianus,Northern Bobwhite,GALLIFORMES,Odontophoridae,NT,Colinus
Colinus nigrogularis,Black-throated Bobwhite,GALLIFORMES,Odontophoridae,LC,Colinus
Colinus leucopogon,Spot-bellied Bobwhite,GALLIFORMES,Odontophoridae,LC,Colinus
Colinus cristatus,Crested Bobwhite,GALLIFORMES,Odontophoridae,LC,Colinus
Callipepla squamata,Scaled Quail,GALLIFORMES,Odontophoridae,LC,Callipepla
Callipepla douglasii,Elegant Quail,GALLIFORMES,Odontophoridae,LC,Callipepla
Callipepla gambelii,Gambel's Quail,GALLIFORMES,Odontophoridae,LC,Callipepla
Callipepla californica,California Quail,GALLIFORMES,Odontophoridae,LC,Callipepla
Dendrortyx barbatus,Bearded Wood-partridge,GALLIFORMES,Odontophoridae,VU,Dendrortyx
Dendrortyx macroura,Long-tailed Wood-partridge,GALLIFORMES,Odontophoridae,LC,Dendrortyx
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,GALLIFORMES,Odontophoridae,LC,Dendrortyx
Odontophorus gujanensis,Marbled Wood-quail,GALLIFORMES,Odontophoridae,LC,Odontophorus
Odontophorus capueira,Spot-winged Wood-quail,GALLIFORMES,Odontophoridae,LC,Odontophorus
Odontophorus melanotis,Black-eared Wood-quail,GALLIFORMES,Odontophoridae,NT,Odontophorus
Odontophorus erythrops,Rufous-fronted Wood-quail,GALLIFORMES,Odontophoridae,LC,Odontophorus
Odontophorus atrifrons,Black-fronted Wood-quail,GALLIFORMES,Odontophoridae,LC,Odontophorus
Odontophorus hyperythrus,Chestnut Wood-quail,GALLIFORMES,Odontophoridae,LC,Odontophorus
Odontophorus melanonotus,Dark-backed Wood-quail,GALLIFORMES,Odontophoridae,LC,Odontophorus
Odontophorus speciosus,Rufous-breasted Wood-quail,GALLIFORMES,Odontophoridae,LC,Odontophorus
Odontophorus dialeucos,Tacarcuna Wood-quail,GALLIFORMES,Odontophoridae,LC,Odontophorus
Odontophorus strophium,Gorgeted Wood-quail,GALLIFORMES,Odontophoridae,VU,Odontophorus
Odontophorus columbianus,Venezuelan Wood-quail,GALLIFORMES,Odontophoridae,NT,Odontophorus
Odontophorus leucolaemus,Black-breasted Wood-quail,GALLIFORMES,Odontophoridae,LC,Odontophorus
Odontophorus balliviani,Stripe-faced Wood-quail,GALLIFORMES,Odontophoridae,LC,Odontophorus
Odontophorus stellatus,Starred Wood-quail,GALLIFORMES,Odontophoridae,LC,Odontophorus
Odontophorus guttatus,Spotted Wood-quail,GALLIFORMES,Odontophoridae,LC,Odontophorus
Rhynchortyx cinctus,Tawny-faced Quail,GALLIFORMES,Odontophoridae,NT,Rhynchortyx
Dactylortyx thoracicus,Singing Quail,GALLIFORMES,Odontophoridae,LC,Dactylortyx
Cyrtonyx montezumae,Montezuma Quail,GALLIFORMES,Odontophoridae,LC,Cyrtonyx
Cyrtonyx sallei,Spot-breasted Quail,GALLIFORMES,Odontophoridae,NT,Cyrtonyx
Cyrtonyx ocellatus,Ocellated Quail,GALLIFORMES,Odontophoridae,VU,Cyrtonyx
Xenoperdix udzungwensis,Udzungwa Forest-partridge,GALLIFORMES,Phasianidae,EN,Xenoperdix
Rollulus rouloul,Crested Partridge,GALLIFORMES,Phasianidae,VU,Rollulus
Arborophila torqueola,Hill Partridge,GALLIFORMES,Phasianidae,LC,Arborophila
Arborophila rufogularis,Rufous-throated Partridge,GALLIFORMES,Phasianidae,LC,Arborophila
Arborophila atrogularis,White-cheeked Partridge,GALLIFORMES,Phasianidae,LC,Arborophila
Arborophila crudigularis,Taiwan Partridge,GALLIFORMES,Phasianidae,LC,Arborophila
Arborophila mandellii,Chestnut-breasted Partridge,GALLIFORMES,Phasianidae,NT,Arborophila
Arborophila brunneopectus,Bar-backed Partridge,GALLIFORMES,Phasianidae,LC,Arborophila
Arborophila rufipectus,Sichuan Partridge,GALLIFORMES,Phasianidae,VU,Arborophila
Arborophila gingica,Collared Partridge,GALLIFORMES,Phasianidae,NT,Arborophila
Arborophila davidi,Orange-necked Partridge,GALLIFORMES,Phasianidae,NT,Arborophila
Arborophila cambodiana,Chestnut-headed Partridge,GALLIFORMES,Phasianidae,LC,Arborophila
Arborophila campbelli,Malay Partridge,GALLIFORMES,Phasianidae,LC,Arborophila
Arborophila rolli,Tan-breasted Partridge,GALLIFORMES,Phasianidae,LC,Arborophila
Arborophila sumatrana,Sumatran Partridge,GALLIFORMES,Phasianidae,LC,Arborophila
Arborophila orientalis,White-faced Partridge,GALLIFORMES,Phasianidae,VU,Arborophila
Arborophila javanica,Chestnut-bellied Partridge,GALLIFORMES,Phasianidae,LC,Arborophila
Arborophila rubrirostris,Red-billed Partridge,GALLIFORMES,Phasianidae,LC,Arborophila
Arborophila hyperythra,Bornean Partridge,GALLIFORMES,Phasianidae,LC,Arborophila
Arborophila ardens,Hainan Partridge,GALLIFORMES,Phasianidae,VU,Arborophila
Tropicoperdix chloropus,Green-legged Partridge,GALLIFORMES,Phasianidae,LC,Tropicoperdix
Tropicoperdix tonkinensis,Tonkin Partridge,GALLIFORMES,Phasianidae,LC,Tropicoperdix
Tropicoperdix charltonii,Chestnut-necklaced Partridge,GALLIFORMES,Phasianidae,VU,Tropicoperdix
Tropicoperdix graydoni,Sabah Partridge,GALLIFORMES,Phasianidae,NT,Tropicoperdix
Rhizothera longirostris,Long-billed Partridge,GALLIFORMES,Phasianidae,NT,Rhizothera
Rhizothera dulitensis,Dulit Partridge,GALLIFORMES,Phasianidae,DD,Rhizothera
Melanoperdix niger,Black Partridge,GALLIFORMES,Phasianidae,VU,Melanoperdix
Haematortyx sanguiniceps,Crimson-headed Partridge,GALLIFORMES,Phasianidae,LC,Haematortyx
Caloperdix oculeus,Ferruginous Partridge,GALLIFORMES,Phasianidae,NT,Caloperdix
Galloperdix spadicea,Red Spurfowl,GALLIFORMES,Phasianidae,LC,Galloperdix
Galloperdix lunulata,Painted Spurfowl,GALLIFORMES,Phasianidae,LC,Galloperdix
Galloperdix bicalcarata,Sri Lanka Spurfowl,GALLIFORMES,Phasianidae,LC,Galloperdix
Afropavo congensis,Congo Peafowl,GALLIFORMES,Phasianidae,NT,Afropavo
Pavo cristatus,Indian Peafowl,GALLIFORMES,Phasianidae,LC,Pavo
Pavo muticus,Green Peafowl,GALLIFORMES,Phasianidae,EN,Pavo
Argusianus argus,Great Argus,GALLIFORMES,Phasianidae,VU,Argusianus
Rheinardia ocellata,Annamite Crested Argus,GALLIFORMES,Phasianidae,CR,Rheinardia
Rheinardia nigrescens,Malaysian Crested Argus,GALLIFORMES,Phasianidae,NT,Rheinardia
Polyplectron napoleonis,Palawan Peacock-Pheasant,GALLIFORMES,Phasianidae,VU,Polyplectron
Polyplectron malacense,Malay Peacock-Pheasant,GALLIFORMES,Phasianidae,EN,Polyplectron
Polyplectron schleiermacheri,Bornean Peacock-Pheasant,GALLIFORMES,Phasianidae,EN,Polyplectron
Polyplectron germaini,Germain's Peacock-Pheasant,GALLIFORMES,Phasianidae,VU,Polyplectron
Polyplectron katsumatae,Hainan Peacock-Pheasant,GALLIFORMES,Phasianidae,EN,Polyplectron
Polyplectron bicalcaratum,Grey Peacock-Pheasant,GALLIFORMES,Phasianidae,LC,Polyplectron
Polyplectron inopinatum,Mountain Peacock-Pheasant,GALLIFORMES,Phasianidae,NT,Polyplectron
Polyplectron chalcurum,Bronze-tailed Peacock-Pheasant,GALLIFORMES,Phasianidae,LC,Polyplectron
Margaroperdix madagarensis,Madagascar Partridge,GALLIFORMES,Phasianidae,LC,Margaroperdix
Coturnix coturnix,Common Quail,GALLIFORMES,Phasianidae,LC,Coturnix
Coturnix japonica,Japanese Quail,GALLIFORMES,Phasianidae,NT,Coturnix
Coturnix coromandelica,Rain Quail,GALLIFORMES,Phasianidae,LC,Coturnix
Coturnix delegorguei,Harlequin Quail,GALLIFORMES,Phasianidae,LC,Coturnix
Coturnix pectoralis,Stubble Quail,GALLIFORMES,Phasianidae,LC,Coturnix
Coturnix novaezelandiae,New Zealand Quail,GALLIFORMES,Phasianidae,EX,Coturnix
Synoicus ypsilophorus,Brown Quail,GALLIFORMES,Phasianidae,LC,Synoicus
Synoicus chinensis,Asian Blue Quail,GALLIFORMES,Phasianidae,LC,Synoicus
Synoicus adansonii,African Blue Quail,GALLIFORMES,Phasianidae,LC,Synoicus
Anurophasis monorthonyx,Snow Mountain Quail,GALLIFORMES,Phasianidae,LC,Anurophasis
Tetraogallus caucasicus,Caucasian Snowcock,GALLIFORMES,Phasianidae,LC,Tetraogallus
Tetraogallus caspius,Caspian Snowcock,GALLIFORMES,Phasianidae,LC,Tetraogallus
Tetraogallus himalayensis,Himalayan Snowcock,GALLIFORMES,Phasianidae,LC,Tetraogallus
Tetraogallus tibetanus,Tibetan Snowcock,GALLIFORMES,Phasianidae,LC,Tetraogallus
Tetraogallus altaicus,Altai Snowcock,GALLIFORMES,Phasianidae,LC,Tetraogallus
Alectoris graeca,Rock Partridge,GALLIFORMES,Phasianidae,NT,Alectoris
Alectoris chukar,Chukar,GALLIFORMES,Phasianidae,LC,Alectoris
Alectoris magna,Przevalski's Partridge,GALLIFORMES,Phasianidae,LC,Alectoris
Alectoris philbyi,Philby's Partridge,GALLIFORMES,Phasianidae,LC,Alectoris
Alectoris barbara,Barbary Partridge,GALLIFORMES,Phasianidae,LC,Alectoris
Alectoris rufa,Red-legged Partridge,GALLIFORMES,Phasianidae,NT,Alectoris
Alectoris melanocephala,Arabian Partridge,GALLIFORMES,Phasianidae,LC,Alectoris
Lerwa lerwa,Snow Partridge,GALLIFORMES,Phasianidae,LC,Lerwa
Ammoperdix griseogularis,See-see Partridge,GALLIFORMES,Phasianidae,LC,Ammoperdix
Ammoperdix heyi,Sand Partridge,GALLIFORMES,Phasianidae,LC,Ammoperdix
Perdicula asiatica,Jungle Bush-quail,GALLIFORMES,Phasianidae,LC,Perdicula
Perdicula argoondah,Rock Bush-quail,GALLIFORMES,Phasianidae,LC,Perdicula
Perdicula erythrorhyncha,Painted Bush-quail,GALLIFORMES,Phasianidae,LC,Perdicula
Perdicula manipurensis,Manipur Bush-quail,GALLIFORMES,Phasianidae,CR,Perdicula
Ophrysia superciliosa,Himalayan Quail,GALLIFORMES,Phasianidae,CR,Ophrysia
Pternistis hartlaubi,Hartlaub's Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis bicalcaratus,Double-spurred Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis icterorhynchus,Heuglin's Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis clappertoni,Clapperton's Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis harwoodi,Harwood's Spurfowl,GALLIFORMES,Phasianidae,NT,Pternistis
Pternistis adspersus,Red-billed Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis capensis,Cape Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis natalensis,Natal Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis hildebrandti,Hildebrandt's Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis ahantensis,Ahanta Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis squamatus,Scaly Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis griseostriatus,Grey-striped Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis leucoscepus,Yellow-necked Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis rufopictus,Grey-breasted Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis afer,Red-necked Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis swainsonii,Swainson's Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis jacksoni,Jackson's Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis nobilis,Handsome Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis camerunensis,Mount Cameroon Spurfowl,GALLIFORMES,Phasianidae,EN,Pternistis
Pternistis swierstrai,Swierstra's Spurfowl,GALLIFORMES,Phasianidae,VU,Pternistis
Pternistis castaneicollis,Chestnut-naped Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis atrifrons,Black-fronted Spurfowl,GALLIFORMES,Phasianidae,EN,Pternistis
Pternistis erckelii,Erckel's Spurfowl,GALLIFORMES,Phasianidae,LC,Pternistis
Pternistis ochropectus,Djibouti Spurfowl,GALLIFORMES,Phasianidae,CR,Pternistis
Francolinus francolinus,Black Francolin,GALLIFORMES,Phasianidae,LC,Francolinus
Francolinus pictus,Painted Francolin,GALLIFORMES,Phasianidae,LC,Francolinus
Francolinus pintadeanus,Chinese Francolin,GALLIFORMES,Phasianidae,LC,Francolinus
Ortygornis pondicerianus,Grey Francolin,GALLIFORMES,Phasianidae,LC,Ortygornis
Ortygornis gularis,Swamp Francolin,GALLIFORMES,Phasianidae,NT,Ortygornis
Ortygornis sephaena,Crested Francolin,GALLIFORMES,Phasianidae,LC,Ortygornis
Campocolinus coqui,Coqui Francolin,GALLIFORMES,Phasianidae,LC,Campocolinus
Campocolinus albogularis,White-throated Francolin,GALLIFORMES,Phasianidae,LC,Campocolinus
Campocolinus schlegelii,Schlegel's Francolin,GALLIFORMES,Phasianidae,LC,Campocolinus
Peliperdix lathami,Forest Francolin,GALLIFORMES,Phasianidae,LC,Peliperdix
Scleroptila streptophora,Ring-necked Francolin,GALLIFORMES,Phasianidae,LC,Scleroptila
Scleroptila levaillantii,Red-winged Francolin,GALLIFORMES,Phasianidae,LC,Scleroptila
