scientific_name,ibp_common_name,ibp_alpha_code_4,ibp_alpha_code_6,genus
Spinus spinus,Eurasian Siskin,EUSI,SPISPI,Spinus
Spinus pinus,Pine Siskin,PISI,SPIPIN,Spinus
Spinus atriceps,Black-capped Siskin,BCSI,SPIATC,Spinus
Spinus notatus,Black-headed Siskin,BHSI,SPINOT,Spinus
Spinus xanthogastrus,Yellow-bellied Siskin,YBSI,SPIXAN,Spinus
Spinus cucullatus,Red Siskin,RESI,SPICUC,Spinus
Spinus dominicensis,Antillean Siskin,ANSI,SPUDOM,Spinus
Spinus psaltria,Lesser Goldfinch,LEGO,SPIPSA,Spinus
Spinus lawrencei,Lawrence's Goldfinch,LAGO,SPILAW,Spinus
Spinus tristis,American Goldfinch,AGOL,SPITRI,Spinus
Serinus canaria,Island Canary,ISCA,SERCAN,Serinus
Rhodinocichla rosea,Rosy Thrush-Tanager,ROTT,RHNROS,Rhodinocichla
Calcarius lapponicus,Lapland Longspur,LALO,CALLAP,Calcarius
Calcarius ornatus,Chestnut-collared Longspur,CCLO,CALORN,Calcarius
Calcarius pictus,Smith's Longspur,SMLO,CALPIC,Calcarius
Rhynchophanes mccownii,Thick-billed Longspur,TBLO,RHYMCC,Rhynchophanes
Plectrophenax nivalis,Snow Bunting,SNBU,PLENIV,Plectrophenax
Plectrophenax hyperboreus,McKay's Bunting,MKBU,PLEHYP,Plectrophenax
Emberiza leucocephalos,Pine Bunting,PIBU,EMBLEU,Emberiza
Emberiza chrysophrys,Yellow-browed Bunting,YBWB,EMBCHR,Emberiza
Emberiza pusilla,Little Bunting,LIBU,EMBPUS,Emberiza
Emberiza rustica,Rustic Bunting,RUBU,EMBRUS,Emberiza
Emberiza elegans,Yellow-throated Bunting,YTBU,EMBELE,Emberiza
Emberiza aureola,Yellow-breasted Bunting,YBSB,EMBAUR,Emberiza
Emberiza variabilis,Gray Bunting,GRBU,EMBVAR,Emberiza
Emberiza pallasi,Pallas's Bunting,PALB,EMBPAL,Emberiza
Emberiza schoeniclus,Reed Bunting,REBU,EMBSCH,Emberiza
Chlorospingus flavigularis,Yellow-throated Chlorospingus,YTCH,CHLFLG,Chlorospingus
Chlorospingus canigularis,Ashy-throated Chlorospingus,ATCH,CHLCAG,Chlorospingus
Chlorospingus pileatus,Sooty-capped Chlorospingus,SCCH,CHLPIL,Chlorospingus
Chlorospingus flavopectus,Common Chlorospingus,COCL,CHLFLP,Chlorospingus
Chlorospingus tacarcunae,Tacarcuna Chlorospingus,TACH,CHLTAC,Chlorospingus
Chlorospingus inornatus,Pirre Chlorospingus,PICH,CHLINO,Chlorospingus
Peucaea carpalis,Rufous-winged Sparrow,RWSP,PEUCAR,Peucaea
Peucaea sumichrasti,Cinnamon-tailed Sparrow,CTSP,PEUSUM,Peucaea
Peucaea ruficauda,Stripe-headed Sparrow,SHSP,PEURUF,Peucaea
Peucaea humeralis,Black-chested Sparrow,BCHS,PEUHUM,Peucaea
Peucaea mystacalis,Bridled Sparrow,BRIS,PEUMYS,Peucaea
Peucaea botterii,Botteri's Sparrow,BOSP,PEUBOT,Peucaea
Peucaea cassinii,Cassin's Sparrow,CASP,PEUCAS,Peucaea
Peucaea aestivalis,Bachman's Sparrow,BACS,PEUAES,Peucaea
Ammodramus savannarum,Grasshopper Sparrow,GRSP,AMMSAV,Ammodramus
Ammodramus savannarum floridanus,Florida Grasshopper Sparrow,FGSP,AMMSFL,Ammodramus
Arremonops rufivirgatus,Olive Sparrow,OLSP,ARRRUF,Arremonops
Arremonops chloronotus,Green-backed Sparrow,GBSP,ARRCHL,Arremonops
Arremonops conirostris,Black-striped Sparrow,BSTS,ARRCON,Arremonops
Amphispizopsis quinquestriata,Five-striped Sparrow,FSSP,AMPQUI,Amphispizopsis
Amphispiza bilineata,Black-throated Sparrow,BTSP,AMPBIL,Amphispiza
Chondestes grammacus,Lark Sparrow,LASP,CHOGRA,Chondestes
Calamospiza melanocorys,Lark Bunting,LARB,CALMEC,Calamospiza
Spizella passerina,Chipping Sparrow,CHSP,SPIPAS,Spizella
Spizella pallida,Clay-colored Sparrow,CCSP,SPIPAL,Spizella
Spizella atrogularis,Black-chinned Sparrow,BCSP,SPIATG,Spizella
Spizella pusilla,Field Sparrow,FISP,SPIPUS,Spizella
Spizella breweri,Brewer's Sparrow,BRSP,SPIBRE,Spizella
Spizella wortheni,Worthen's Sparrow,WOSP,SPIWOR,Spizella
Arremon costaricensis,Costa Rican Brushfinch,CRBR,ARRCOS,Arremon
Arremon atricapillus,Black-headed Brushfinch,BHBR,ARRATR,Arremon
Arremon aurantiirostris,Orange-billed Sparrow,OBSP,ARRAUR,Arremon
Arremon virenticeps,Green-striped Brushfinch,GSBR,ARRVIR,Arremon
Arremon brunneinucha,Chestnut-capped Brushfinch,CCBR,ARRBRU,Arremon
Arremon crassirostris,Sooty-faced Finch,SFFI,ARRCRA,Arremon
Passerella iliaca,Fox Sparrow,FOSP,PASILI,Passerella
Spizelloides arborea,American Tree Sparrow,ATSP,SPIARB,Spizelloides
Junco vulcani,Volcano Junco,VOJU,JUNVUL,Junco
Junco insularis,Guadalupe Junco,GUJU,JUNINS,Junco
Junco hyemalis,Dark-eyed Junco,DEJU,JUNHYE,Junco
Junco hyemalis hyemalis,Slate-colored Junco,SCJU,JUNHHY,Junco
Junco hyemalis aikeni,White-winged Junco,WWJU,JUNHAI,Junco
Junco hyemalis oreganus,Oregon Junco,ORJU,JUNHOR,Junco
Junco hyemalis mearnsi,Pink-sided Junco,PSJU,JUNHME,Junco
Junco hyemalis caniceps,Gray-headed Junco,GHJU,JUNHCA,Junco
Junco hyemalis dorsalis,Red-backed Junco,RBJU,JUNHDO,Junco
Junco phaeonotus,Yellow-eyed Junco,YEJU,JUNPHA,Junco
Junco bairdi,Baird's Junco,BAJU,JUNBAI,Junco
Zonotrichia capensis,Rufous-collared Sparrow,RCOS,ZONCAP,Zonotrichia
Zonotrichia leucophrys,White-crowned Sparrow,WCSP,ZONLEU,Zonotrichia
Zonotrichia leucophrys leucophrys,Eastern White-crowned Sparrow,EWCS,ZONLLE,Zonotrichia
Zonotrichia leucophrys oriantha,Mountain White-crowned Sparrow,MWCS,ZONLOR,Zonotrichia
Zonotrichia leucophrys gambelii,Gambel's White-crowned Sparrow,GWCS,ZONLGA,Zonotrichia
Zonotrichia leucophrys pugetensis,Puget Sound White-crowned Sparrow,PSWS,ZONLPU,Zonotrichia
Zonotrichia leucophrys nuttalli,Nuttall's White-crowned Sparrow,NWCS,ZONLNU,Zonotrichia
Zonotrichia atricapilla,Golden-crowned Sparrow,GCSP,ZONATR,Zonotrichia
Zonotrichia querula,Harris's Sparrow,HASP,ZONQUE,Zonotrichia
Zonotrichia albicollis,White-throated Sparrow,WTSP,ZONALB,Zonotrichia
Zonotrichia hybrid,Zonotrichia Sparrow Hybrid,ZSHY,ZONHYB,Zonotrichia
Artemisiospiza belli,Bell's Sparrow,BESP,ARTBEL,Artemisiospiza
Artemisiospiza nevadensis/belli,Unidentified Sage Sparrow,USSP,ARTNEB,Artemisiospiza
Artemisiospiza nevadensis,Sagebrush Sparrow,SABS,ARTNEV,Artemisiospiza
Artemisiospiza belli clementeae,San Clemente Bell's Sparrow,SCBS,ARTBEC,Artemisiospiza
Oriturus superciliosus,Striped Sparrow,SSPA,ORISUP,Oriturus
Pooecetes gramineus,Vesper Sparrow,VESP,POOGRA,Pooecetes
Ammospiza leconteii,LeConte's Sparrow,LCSP,AMMLEC,Ammospiza
Ammospiza maritima,Seaside Sparrow,SESP,AMMMAR,Ammospiza
Ammospiza maritima nigrescens,Dusky Seaside-Sparrow,DSSP,AMMMNI,Ammospiza
Ammospiza maritima mirabilis,Cape Sable Seaside-Sparrow,CSSS,AMMMMI,Ammospiza
Ammospiza nelsoni,Nelson's Sparrow,NESP,AMMNEL,Ammospiza
Ammospiza caudacuta,Saltmarsh Sparrow,SALS,AMMCAU,Ammospiza
Ammospiza nelsoni/caudacuta,Sharp-tailed Sparrow,STSP,AMMNEC,Ammospiza
Centronyx bairdii,Baird's Sparrow,BAIS,CENBAI,Centronyx
Centronyx henslowii,Henslow's Sparrow,HESP,CENHEN,Centronyx
Passerculus sandwichensis,Savannah Sparrow,SAVS,PASSAN,Passerculus
Passerculus sandwichensis princeps,Ipswich Sparrow,IPSP,PASSPR,Passerculus
Passerculus sandwichensis beldingi,Belding's Savannah Sparrow,BSSP,PASSBE,Passerculus
Passerculus sandwichensis rostratus,Large-billed Sparrow,LBSP,PASSRO,Passerculus
Xenospiza baileyi,Sierra Madre Sparrow,SMSP,XENBAI,Xenospiza
Melospiza melodia,Song Sparrow,SOSP,MELMEL,Melospiza
Melospiza lincolnii,Lincoln's Sparrow,LISP,MELLIN,Melospiza
Melospiza georgiana,Swamp Sparrow,SWSP,MELGEO,Melospiza
Pezopetes capitalis,Large-footed Finch,LFFI,PEZCAP,Pezopetes
Torreornis inexpectata,Zapata Sparrow,ZASP,TORINE,Torreornis
Melozone kieneri,Rusty-crowned Ground-Sparrow,RCGS,MELKIE,Melozone
Melozone fusca,Canyon Towhee,CANT,MEZFUS,Melozone
Melozone albicollis,White-throated Towhee,WTTO,MELALB,Melozone
Melozone aberti,Abert's Towhee,ABTO,MELABE,Melozone
Melozone crissalis,California Towhee,CALT,MELCRI,Melozone
Melozone crissalis eremophilus,Inyo California Towhee,ICTO,MELCRE,Melozone
Melozone leucotis,White-eared Ground-Sparrow,WEGS,MELLEU,Melozone
Melozone biarcuata,White-faced Ground-Sparrow,WFGS,MELBIA,Melozone
Melozone cabanisi,Cabanis's Ground-Sparrow,CAGS,MELCAB,Melozone
Aimophila rufescens,Rusty Sparrow,RUSP,AIMRUS,Aimophila
Aimophila ruficeps,Rufous-crowned Sparrow,RCSP,AIMRUP,Aimophila
Aimophila notosticta,Oaxaca Sparrow,OASP,AIMNOT,Aimophila
Pipilo chlorurus,Green-tailed Towhee,GTTO,PIPCHL,Pipilo
Pipilo maculatus,Spotted Towhee,SPTO,PIPMAC,Pipilo
Pipilo maculatus/erythrophthalmus,Unidentified Rufous-sided Towhee,URST,PIPMAE,Pipilo
Pipilo erythrophthalmus,Eastern Towhee,EATO,PIPERY,Pipilo
Pipilo ocai,Collared Towhee,COTO,PIPOCA,Pipilo
Pipilo hybrid,Hybrid Towhee,HYTO,PIPHYB,Pipilo
Atlapetes pileatus,Rufous-capped Brushfinch,RCBR,ATLPIL,Atlapetes
Atlapetes albinucha,White-naped Brushfinch,WNBR,ATLALB,Atlapetes
Atlapetes tibialis,Yellow-thighed Brushfinch,YTBR,ALTTIB,Atlapetes
Atlapetes luteoviridis,Yellow-green Brushfinch,YGBR,ALTLUT,Atlapetes
"Passerellidae (gen, sp)",Unidentified Sparrow,UNSP,PASGSP,Passerellidae
Calyptophilus tertius,Western Chat-Tanager,WECT,CALTER,Calyptophilus
Calyptophilus frugivorus,Eastern Chat-Tanager,EACT,CALFRU,Calyptophilus
Zeledonia coronata,Wrenthrush,WRET,ZELCOR,Zeledonia
Phaenicophilus palmarum,Black-crowned Palm-Tanager,BPLT,PHAPAL,Phaenicophilus
Phaenicophilus poliocephalus,Gray-crowned Palm-Tanager,GCPT,PHAPOL,Phaenicophilus
Xenoligea montana,White-winged Warbler,WWWA,XENMON,Xenoligea
Microligea palustris,Green-tailed Warbler,GTWA,MICPAL,Microligea
Nesospingus speculiferus,Puerto Rican Tanager,PRTA,NESSPE,Nesospingus
Spindalis zena,Western Spindalis,WESP,SPIZEN,Spindalis
Spindalis nigricephala,Jamaican Spindalis,JAMS,SPINIG,Spindalis
Spindalis dominicensis,Hispaniolan Spindalis,HISP,SPDDOM,Spindalis
Spindalis portoricensis,Puerto Rican Spindalis,PRSP,SPIPOR,Spindalis
Teretistris fernandinae,Yellow-headed Warbler,YHWA,TERFER,Teretistris
Teretistris fornsi,Oriente Warbler,ORWA,TERFOR,Teretistris
Icteria virens,Yellow-breasted Chat,YBCH,ICTVIR,Icteria
Xanthocephalus xanthocephalus,Yellow-headed Blackbird,YHBL,XANXAN,Xanthocephalus
Dolichonyx oryzivorus,Bobolink,BOBO,DOLORY,Dolichonyx
Sturnella lilianae,Chihuahuan Meadowlark,CHME,STULIL,Sturnella
Sturnella magna,Eastern Meadowlark,EAME,STUMAG,Sturnella
Sturnella magna/neglecta,Eastern/Western Meadowlark,EWME,STUMAN,Sturnella
Sturnella neglecta,Western Meadowlark,WEME,STUNEG,Sturnella
Leistes militaris,Red-breasted Meadowlark,RBRM,LEIMIL,Leistes
Amblycercus holosericeus,Yellow-billed Cacique,YBIC,AMBHOL,Amblycercus
Cassiculus melanicterus,Yellow-winged Cacique,YWCA,CASMEL,Cassiculus
Psarocolius decumanus,Crested Oropendola,CROR,PSADEC,Psarocolius
Psarocolius wagleri,Chestnut-headed Oropendola,CHOR,PSAWAG,Psarocolius
Psarocolius montezuma,Montezuma Oropendola,MORO,PSAMON,Psarocolius
Psarocolius guatimozinus,Black Oropendola,BLOR,PSAGUA,Psarocolius
Cacicus uropygialis,Scarlet-rumped Cacique,SRCA,CACURO,Cacicus
Cacicus cela,Yellow-rumped Cacique,YRCA,CACCEL,Cacicus
Icterus northropi,Bahama Oriole,BAHO,ICTNOR,Icterus
Icterus melanopsis,Cuban Oriole,CUOR,ICTMEL,Icterus
Icterus dominicensis,Hispaniolan Oriole,HIOR,ICTDOM,Icterus
Icterus portoricensis,Puerto Rican Oriole,PROR,ICTPOR,Icterus
Icterus laudabilis,St. Lucia Oriole,SLOR,ICTLAU,Icterus
Icterus oberi,Montserrat Oriole,MORI,ICTOBE,Icterus
Icterus bonana,Martinique Oriole,MAOR,ICTBON,Icterus
Icterus wagleri,Black-vented Oriole,BVOR,ICTWAG,Icterus
Icterus maculialatus,Bar-winged Oriole,BWOR,ICTMAC,Icterus
Icterus prosthemelas,Black-cowled Oriole,BCOR,ICTPRO,Icterus
Icterus spurius,Orchard Oriole,OROR,ICTSPU,Icterus
Icterus cucullatus,Hooded Oriole,HOOR,ICTCUC,Icterus
Icterus chrysater,Yellow-backed Oriole,YBOR,ICTCHR,Icterus
Icterus auricapillus,Orange-crowned Oriole,OCOR,ICTAUC,Icterus
Icterus mesomelas,Yellow-tailed Oriole,YTOR,ICTMES,Icterus
Icterus icterus,Venezuelan Troupial,VETR,ICTICT,Icterus
Icterus pustulatus,Streak-backed Oriole,SBAO,ICTPUS,Icterus
Icterus bullockii,Bullock's Oriole,BUOR,ICTBUL,Icterus
Icterus bullockii x galbula,Bullock's x Baltimore Oriole Hybrid,BBOH,ICTBUG,Icterus
Icterus auratus,Orange Oriole,ORAO,ICTAUT,Icterus
Icterus leucopteryx,Jamaican Oriole,JAOR,ICTLEU,Icterus
Icterus pectoralis,Spot-breasted Oriole,SBOR,ICTPEC,Icterus
Icterus gularis,Altamira Oriole,ALOR,ICTGUL,Icterus
Icterus graduacauda,Audubon's Oriole,AUOR,ICTGRA,Icterus
Icterus galbula,Baltimore Oriole,BAOR,ICTGAL,Icterus
Icterus abeillei,Black-backed Oriole,BBOR,ICTABE,Icterus
Icterus parisorum,Scott's Oriole,SCOR,ICTPAR,Icterus
Nesopsar nigerrimus,Jamaican Blackbird,JABL,NESNIG,Nesopsar
Agelaius phoeniceus,Red-winged Blackbird,RWBL,AGEPHO,Agelaius
Agelaius assimilis,Red-shouldered Blackbird,RSBL,AGEASS,Agelaius
Agelaius tricolor,Tricolored Blackbird,TRBL,AGETRI,Agelaius
Agelaius humeralis,Tawny-shouldered Blackbird,TSBL,AGEHUM,Agelaius
Agelaius xanthomus,Yellow-shouldered Blackbird,YSBL,AGEXAN,Agelaius
Molothrus bonariensis,Shiny Cowbird,SHCO,MOLBON,Molothrus
Molothrus aeneus,Bronzed Cowbird,BROC,MOLAEN,Molothrus
Molothrus ater,Brown-headed Cowbird,BHCO,MOLATE,Molothrus
Molothrus oryzivorus,Giant Cowbird,GICO,MOLORY,Molothrus
Dives dives,Melodious Blackbird,MEBL,DIVDIV,Dives
Ptiloxena atroviolacea,Cuban Blackbird,CUBL,PTIATR,Ptiloxena
Euphagus carolinus,Rusty Blackbird,RUBL,EUPCAR,Euphagus
Euphagus cyanocephalus,Brewer's Blackbird,BRBL,EUPCYC,Euphagus
Quiscalus quiscula,Common Grackle,COGR,QUIQUI,Quiscalus
Quiscalus major,Boat-tailed Grackle,BTGR,QUIMAJ,Quiscalus
Quiscalus mexicanus,Great-tailed Grackle,GTGR,QUIMEX,Quiscalus
Quiscalus palustris,Slender-billed Grackle,SBGR,QUIPAL,Quiscalus
Quiscalus nicaraguensis,Nicaraguan Grackle,NIGR,QUINIC,Quiscalus
Quiscalus niger,Greater Antillean Grackle,GAGR,QUINIG,Quiscalus
Quiscalus lugubris,Carib Grackle,CAGR,QUILUG,Quiscalus
Chrysomus icterocephalus,Yellow-hooded Blackbird,YHOB,CHRICT,Chrysomus
"Icteridae (gen, sp)",Unidentified Blackbird,UNBL,ICTGSP,Icteridae
Seiurus aurocapilla,Ovenbird,OVEN,SEIAUR,Seiurus
Helmitheros vermivorum,Worm-eating Warbler,WEWA,HELVER,Helmitheros
Parkesia motacilla,Louisiana Waterthrush,LOWA,PARMOT,Parkesia
Parkesia noveboracensis,Northern Waterthrush,NOWA,PARNOV,Parkesia
Vermivora bachmanii,Bachman's Warbler,BAWA,VERBAC,Vermivora
Vermivora chrysoptera,Golden-winged Warbler,GWWA,VERCHR,Vermivora
Vermivora cyanoptera,Blue-winged Warbler,BWWA,VERCYA,Vermivora
Vermivora chrysoptera x cyanoptera,Brewster's Warbler,BRWA,VERCCY,Vermivora
Vermivora cyanoptera x chrysoptera,Lawrence's Warbler,LAWA,VERCCH,Vermivora
Vermivora hybrid,Blue-wg. x Golden-wg. Warbler Hybrid,GBWH,VERHYB,Vermivora
Mniotilta varia,Black-and-white Warbler,BAWW,MNIVAR,Mniotilta
Protonotaria citrea,Prothonotary Warbler,PROW,PROCIT,Protonotaria
Limnothlypis swainsonii,Swainson's Warbler,SWWA,LIMSWA,Limnothlypis
Oreothlypis superciliosa,Crescent-chested Warbler,CCWA,ORESUP,Oreothlypis
Oreothlypis gutturalis,Flame-throated Warbler,FTHW,OREGUT,Oreothlypis
Leiothlypis peregrina,Tennessee Warbler,TEWA,LEIPER,Leiothlypis
Leiothlypis celata,Orange-crowned Warbler,OCWA,LEICEL,Leiothlypis
Leiothlypis crissalis,Colima Warbler,COLW,LEICRI,Leiothlypis
Leiothlypis luciae,Lucy's Warbler,LUWA,LEILUC,Leiothlypis
Leiothlypis ruficapilla,Nashville Warbler,NAWA,LEIRUF,Leiothlypis
Leiothlypis virginiae,Virginia's Warbler,VIWA,LEIVIR,Leiothlypis
Leucopeza semperi,Semper's Warbler,SEMW,LEUSER,Leucopeza
Oporornis agilis,Connecticut Warbler,CONW,OPOAGI,Oporornis
Geothlypis poliocephala,Gray-crowned Yellowthroat,GCYE,GEOPOL,Geothlypis
Geothlypis tolmiei,MacGillivray's Warbler,MGWA,GEOTOL,Geothlypis
Geothlypis philadelphia,Mourning Warbler,MOWA,GEOPHI,Geothlypis
Geothlypis formosa,Kentucky Warbler,KEWA,GEOFOR,Geothlypis
Geothlypis semiflava,Olive-crowned Yellowthroat,OCYE,GEOSEM,Geothlypis
Geothlypis speciosa,Black-polled Yellowthroat,BPYE,GEOSPE,Geothlypis
Geothlypis beldingi,Belding's Yellowthroat,BEYE,GEOBEL,Geothlypis
Geothlypis rostrata,Bahama Yellowthroat,BAYE,GEOROS,Geothlypis
Geothlypis flavovelata,Altamira Yellowthroat,ALYE,GEOFLA,Geothlypis
Geothlypis trichas,Common Yellowthroat,COYE,GEOTRI,Geothlypis
Geothlypis nelsoni,Hooded Yellowthroat,HOYE,GEONEL,Geothlypis
Catharopeza bishopi,Whistling Warbler,WHIW,CATBIS,Catharopeza
Setophaga plumbea,Plumbeous Warbler,PLUW,SETPLU,Setophaga
Setophaga angelae,Elfin-woods Warbler,EWWA,SETANG,Setophaga
Setophaga pharetra,Arrowhead Warbler,ARRW,SETPHA,Setophaga
Setophaga citrina,Hooded Warbler,HOWA,SETCIT,Setophaga
Setophaga ruticilla,American Redstart,AMRE,SETRUT,Setophaga
Setophaga kirtlandii,Kirtland's Warbler,KIWA,SETKIR,Setophaga
Setophaga tigrina,Cape May Warbler,CMWA,SETTIG,Setophaga
Setophaga cerulea,Cerulean Warbler,CERW,SETCER,Setophaga
Setophaga americana,Northern Parula,NOPA,SETAME,Setophaga
Setophaga americana x dominica,Sutton's Warbler,SUWA,SETAMD,Setophaga
Setophaga pitiayumi,Tropical Parula,TRPA,SETPIM,Setophaga
Setophaga magnolia,Magnolia Warbler,MAWA,SETMAG,Setophaga
Setophaga castanea,Bay-breasted Warbler,BBWA,SETCAS,Setophaga
Setophaga fusca,Blackburnian Warbler,BLBW,SETFUS,Setophaga
Setophaga petechia,Yellow Warbler,YEWA,SETPET,Setophaga
Setophaga petechia erithachorides,Mangrove Warbler,MANW,SETPER,Setophaga
Setophaga pensylvanica,Chestnut-sided Warbler,CSWA,SETPEN,Setophaga
Setophaga striata,Blackpoll Warbler,BLPW,SETSTR,Setophaga
Setophaga caerulescens,Black-throated Blue Warbler,BTBW,SETCAE,Setophaga
Setophaga palmarum,Palm Warbler,PAWA,SETPAL,Setophaga
Setophaga palmarum palmarum,Western Palm Warbler,WPWA,SETPPA,Setophaga
Setophaga palmarum hypochrysea,Yellow Palm Warbler,YPWA,SETPHY,Setophaga
Setophaga pityophila,Olive-capped Warbler,OCAW,SETPIP,Setophaga
Setophaga pinus,Pine Warbler,PIWA,SETPIN,Setophaga
Setophaga coronata,Yellow-rumped Warbler,YRWA,SETCOR,Setophaga
Setophaga coronata coronata,Myrtle Warbler,MYWA,SETCCO,Setophaga
Setophaga coronata auduboni,Audubon's Warbler,AUWA,SETCAU,Setophaga
Setophaga dominica,Yellow-throated Warbler,YTWA,SETDOM,Setophaga
Setophaga flavescens,Bahama Warbler,BAHW,SETFLA,Setophaga
Setophaga vitellina,Vitelline Warbler,VITW,SETVIT,Setophaga
Setophaga discolor,Prairie Warbler,PRAW,SETDIS,Setophaga
Setophaga adelaidae,Adelaide's Warbler,ADWA,SETADE,Setophaga
Setophaga subita,Barbuda Warbler,BARW,SETSUB,Setophaga
Setophaga delicata,St. Lucia Warbler,SLWA,SETDEL,Setophaga
Setophaga graciae,Grace's Warbler,GRWA,SETGRA,Setophaga
Setophaga nigrescens,Black-throated Gray Warbler,BTYW,SETNIG,Setophaga
Setophaga townsendi,Townsend's Warbler,TOWA,SETTOW,Setophaga
Setophaga townsendi x occidentalis,Townsend's x Hermit Warbler Hybrid,THWH,SETTOO,Setophaga
Setophaga occidentalis,Hermit Warbler,HEWA,SETOCC,Setophaga
Setophaga chrysoparia,Golden-cheeked Warbler,GCWA,SETCHR,Setophaga
Setophaga virens,Black-throated Green Warbler,BTNW,SETVIR,Setophaga
Myiothlypis fulvicauda,Buff-rumped Warbler,BURW,MYIFUL,Myiothlypis
Basileuterus lachrymosus,Fan-tailed Warbler,FTWA,BASLAC,Basileuterus
Basileuterus rufifrons,Rufous-capped Warbler,RCWA,BASRUF,Basileuterus
Basileuterus delattrii,Chestnut-capped Warbler,CCAW,BASDEL,Basileuterus
Basileuterus melanogenys,Black-cheeked Warbler,BCWA,BASMEG,Basileuterus
Basileuterus ignotus,Pirre Warbler,PIRW,BASIGN,Basileuterus
Basileuterus belli,Golden-browed Warbler,GBWA,BASBEL,Basileuterus
Basileuterus culicivorus,Golden-crowned Warbler,GCRW,BASCUL,Basileuterus
Basileuterus melanotis,Costa Rican Warbler,CRWA,BASMET,Basileuterus
Basileuterus tacarcunae,Tacarcuna Warbler,TAWA,BASTAC,Basileuterus
Cardellina canadensis,Canada Warbler,CAWA,CADCAN,Cardellina
Cardellina pusilla,Wilson's Warbler,WIWA,CARPUS,Cardellina
Cardellina rubrifrons,Red-faced Warbler,RFWA,CARRUF,Cardellina
Cardellina rubra,Red Warbler,REWA,CARRUA,Cardellina
Cardellina versicolor,Pink-headed Warbler,PHWA,CARVER,Cardellina
Myioborus pictus,Painted Redstart,PARE,MYIPIC,Myioborus
Myioborus miniatus,Slate-throated Redstart,STRE,MYIMIN,Myioborus
Myioborus torquatus,Collared Redstart,COLR,MYITOR,Myioborus
Parulidae hybrid,Hybrid Warbler,HYWA,PARHYB,Parulidae
"Parulidae (gen, sp)",Unidentified Warbler,UNWA,PARGSP,Parulidae
Piranga roseogularis,Rose-throated Tanager,RTTA,PIRROS,Piranga
Piranga flava,Hepatic Tanager,HETA,PIRFLA,Piranga
Piranga rubra,Summer Tanager,SUTA,PIRRUB,Piranga
Piranga olivacea,Scarlet Tanager,SCTA,PIROLI,Piranga
Piranga ludoviciana,Western Tanager,WETA,PIRLUD,Piranga
Piranga bidentata,Flame-colored Tanager,FCTA,PIRBID,Piranga
Piranga leucoptera,White-winged Tanager,WWTA,PIRLEU,Piranga
Piranga erythrocephala,Red-headed Tanager,RHTA,PIRERY,Piranga
Piranga (sp),Unidentified Piranga Tanager,UPTA,PIRSPE,Piranga
Driophlox fuscicauda,Red-throated Ant-Tanager,RTAT,DRIFUS,Driophlox
Driophlox atrimaxillaris,Black-cheeked Ant-Tanager,BCAT,DRIATR,Driophlox
Habia rubica,Red-crowned Ant-Tanager,RCAT,HABRUB,Habia
Chlorothraupis carmioli,Carmiol's Tanager,CATA,CHLCAR,Chlorothraupis
Chlorothraupis olivacea,Lemon-spectacled Tanager,LSTA,CHLOLI,Chlorothraupis
Periporphyrus celaeno,Crimson-collared Grosbeak,CCGR,PERCEL,Periporphyrus
Caryothraustes poliogaster,Black-faced Grosbeak,BFAG,CARPOL,Caryothraustes
Caryothraustes canadensis,Yellow-green Grosbeak,YGGR,CATCAN,Caryothraustes
Cardinalis cardinalis,Northern Cardinal,NOCA,CARCAI,Cardinalis
Cardinalis sinuatus,Pyrrhuloxia,PYRR,CARSIN,Cardinalis
Pheucticus chrysopeplus,Yellow Grosbeak,YEGR,PHECHR,Pheucticus
Pheucticus tibialis,Black-thighed Grosbeak,BTGG,PHETIB,Pheucticus
Pheucticus ludovicianus,Rose-breasted Grosbeak,RBGR,PHELUD,Pheucticus
Pheucticus melanocephalus,Black-headed Grosbeak,BHGR,PHEMEL,Pheucticus
Granatellus venustus,Red-breasted Chat,RBRC,GRAVEN,Granatellus
Granatellus sallaei,Gray-throated Chat,GTCH,GRASAL,Granatellus
Amaurospiza concolor,Blue Seedeater,BLSE,AMSCON,Amaurospiza
Cyanoloxia cyanoides,Blue-black Grosbeak,BGRO,CYACYD,Cyanoloxia
Cyanocompsa parellina,Blue Bunting,BLBU,CYAPAR,Cyanocompsa
Passerina caerulea,Blue Grosbeak,BLGR,PASCAE,Passerina
Passerina amoena,Lazuli Bunting,LAZB,PASAMO,Passerina
Passerina cyanea x amoena,Indigo X Lazuli Bunting Hybrid,ILBH,PASCYM,Passerina
Passerina cyanea,Indigo Bunting,INBU,PASCYA,Passerina
Passerina rositae,Rose-bellied Bunting,RBBU,PASROS,Passerina
Passerina leclancherii,Orange-breasted Bunting,OBBU,PASLEC,Passerina
Passerina versicolor,Varied Bunting,VABU,PASVER,Passerina
Passerina ciris,Painted Bunting,PABU,PASCIR,Passerina
Spiza americana,Dickcissel,DICK,SPIAME,Spiza
Mitrospingus cassinii,Dusky-faced Tanager,DFTA,MITCAS,Mitrospingus
Bangsia arcaei,Blue-and-gold Tanager,BAGT,BANARC,Bangsia
Paroaria coronata,Red-crested Cardinal,RCCA,PARCOR,Paroaria
Paroaria capitata,Yellow-billed Cardinal,YBCA,PARCAP,Paroaria
Ixothraupis guttata,Speckled Tanager,SPTA,IXOGUT,Ixothraupis
